"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"relation"
"uzbeki";"child birth / obychai i obrjady svjazannye s rozhdeniem";"118451";"1963_5";"Central Asian titular nations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"uzbeki";"magicheskie obrjady / praktiki / magic rites / practices";"118451";"1963_5";"Central Asian titular nations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"turkmeny";"child birth / obychai i obrjady svjazannye s rozhdeniem";"118451";"1963_5";"Central Asian titular nations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"turkmeny";"magicheskie obrjady / praktiki / magic rites / practices";"118451";"1963_5";"Central Asian titular nations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"Western Siberia";"clothing";"120768";"1977_3";"Locations";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"proximity / similarity"
"persy v Afganistane";"language / spoken (incl. dialects)";"124148";"1955_2";"Groups in Iran";NA;"Factual Statement by Author";NA;"proximity / similarity"
"polukochevye uzbeki";"housing / architecture / zhilisshe";"124201";"1971_4";"uzbeki";NA;"Factual Statement by Author";NA;"proximity / similarity"
"osedlye uzbeki";"housing / architecture / zhilisshe";"124201";"1971_4";"uzbeki";NA;"Factual Statement by Author";NA;"proximity / similarity"
"polukochevye uzbeki Fergany (Ferghana, Tajikistan)";"housing / architecture / zhilisshe";"124201";"1971_4";"uzbeki";NA;"Factual Statement by Author";NA;"proximity / similarity"
"karakalpaki Fergany / Karakalpaki of Ferghana";"housing / architecture / zhilisshe";"124201";"1971_4";"karakalpaki";NA;"Factual Statement by Author";NA;"proximity / similarity"
"osedlye uzbeki Fergany (Ferghana, Tajikistan)";"housing / architecture / zhilisshe";"124201";"1971_4";"uzbeki";NA;"Factual Statement by Author";NA;"proximity / similarity"
"uzbeki";"clothing";"125551";"1977_3";"Central Asian titular nations";NA;"Factual Statement by Author";NA;"proximity / similarity"
"narody Srednej Azii i Kazakhstana";"obraz zhizni (kochevoj/osedly) / lifestyle (nomadic/sedentary)";"127931";"1961_2";"Groups";NA;NA;NA;NA
"narody Srednej Azii i Kazakhstana";"zemledelie / sel'skoe khosjajstvo / agriculture";"127931";"1961_2";"Groups";NA;NA;NA;NA
"uzbeki Khorezma";"weddings / svadebnye obychai i obrjady / kalym";"128546";"1982_5";"uzbeki";"present";"Factual Statement by Author";NA;NA
"kirgizy";"weddings / svadebnye obychai i obrjady / kalym";"128546";"1982_5";"Central Asian titular nations";"present";"Factual Statement by Author";NA;NA
"khezarejcy (Afghanistan)";"language / spoken (incl. dialects)";"130194";"1955_2";"Groups in Afghanistan";NA;"Factual Statement by Author";NA;"proximity / similarity"
"Kazakhstan / Kazakhskaja SSR";"obrjady / rites";"130993";"1971_4";"Locations";"present";"Factual Statement by Author";NA;NA
"Kazakhstan / Kazakhskaja SSR";"obychai / customs";"130993";"1971_4";"Locations";"present";"Factual Statement by Author";NA;NA
"Kazakhstan / Kazakhskaja SSR";"byt / bytovyj uklad / every-day life practices";"130993";"1971_4";"Locations";"present";"Factual Statement by Author";NA;NA
"Kazakhstan / Kazakhskaja SSR";"clothing";"130993";"1971_4";"Locations";"present";"Factual Statement by Author";NA;NA
"Kazakhstan / Kazakhskaja SSR";"perezhitki / survivals";"130993";"1971_4";"Locations";"present";"Factual Statement by Author";NA;NA
"Kazakhstan / Kazakhskaja SSR";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"130993";"1971_4";"Locations";"present";"Factual Statement by Author";NA;NA
"Central Asia / Srednjaja Azija";"obrjady / rites";"130993";"1971_4";"Locations";"present";"Factual Statement by Author";NA;NA
"Central Asia / Srednjaja Azija";"obychai / customs";"130993";"1971_4";"Locations";"present";"Factual Statement by Author";NA;NA
"Central Asia / Srednjaja Azija";"byt / bytovyj uklad / every-day life practices";"130993";"1971_4";"Locations";"present";"Factual Statement by Author";NA;NA
"Central Asia / Srednjaja Azija";"clothing";"130993";"1971_4";"Locations";"present";"Factual Statement by Author";NA;NA
"Central Asia / Srednjaja Azija";"perezhitki / survivals";"130993";"1971_4";"Locations";"present";"Factual Statement by Author";NA;NA
"Central Asia / Srednjaja Azija";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"130993";"1971_4";"Locations";"present";"Factual Statement by Author";NA;NA
"sredneaziatskie araby / Central Asian Arabs";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"131393";"1971_4";"Groups";"present";"Factual Statement by Author";"Continuity";"assimilation"
"dzhemshidy (Afghanistan)";"language / spoken (incl. dialects)";"131526";"1955_2";"Groups in Afghanistan";NA;"Factual Statement by Author";NA;"proximity / similarity"
"narody Srednej Azii i Kazakhstana";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"131740";"1971_4";"Groups";"present";"Factual Statement by Author";NA;NA
"narody Srednej Azii i Kazakhstana";"byt / bytovyj uklad / every-day life practices";"131740";"1971_4";"Groups";"present";"Factual Statement by Author";NA;NA
"narody Srednej Azii i Kazakhstana";"narodnye tradicii / nacional'nye tradicii / kul'turnye tradicii";"131740";"1971_4";"Groups";"present";"Factual Statement by Author";NA;NA
"firjuzkukhi v Afganistane";"language / spoken (incl. dialects)";"132175";"1955_2";"Groups in Afghanistan";NA;"Factual Statement by Author";NA;"proximity / similarity"
"byvshie musul'manskie regiony SSSR";"weddings / svadebnye obychai i obrjady / kalym";"132418";"1986_2";"Historical locations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"byvshie musul'manskie regiony SSSR";"gender relations / polozhenie zhensshiny";"132418";"1986_2";"Historical locations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"tajmani/tajmeny (Afghanistan)";"language / spoken (incl. dialects)";"132511";"1955_2";"Groups in Afghanistan";NA;"Factual Statement by Author";NA;"proximity / similarity"
"byvshie musul'manskie regiony SSSR";"religion (Islam)";"132618";"1986_2";"Historical locations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"byvshie musul'manskie regiony SSSR";"child birth / obychai i obrjady svjazannye s rozhdeniem";"132618";"1986_2";"Historical locations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"byvshie musul'manskie regiony SSSR";"weddings / svadebnye obychai i obrjady / kalym";"132618";"1986_2";"Historical locations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"byvshie musul'manskie regiony SSSR";"death / funerals / pogrebal'nye obychai i obrjady";"132618";"1986_2";"Historical locations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"tjurkojazychnye narody";"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"132732";"1990_2";"tjurki";NA;NA;NA;"contact / connection (interpersonal, interethnic,...)"
"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"132732";"1990_2";"Groups in Iran";NA;NA;NA;"contact / connection (interpersonal, interethnic,...)"
"uzbeki";"identity / self-description / samonazvanie / samosoznanie";"13345";"1964_1";"Central Asian titular nations";"present";"Factual Statement by Author";NA;NA
"uzbeki-sarty / Uzbek Sarts";"weddings / svadebnye obychai i obrjady / kalym";"133605";"1981_2";"uzbeki";NA;"Factual Statement by Author";NA;"proximity / similarity"
"zemledel'cheskie narody Evropy i Azii";"weddings / svadebnye obychai i obrjady / kalym";"133605";"1981_2";"Groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"osedloe zemledel'ch. nasel. Vostoch. Turkestan do Zapadn.  Iran";"identity / self-description / samonazvanie / samosoznanie";"136702";"1989_5";"Groups";"past";"Factual Statement by Author";NA;"proximity / similarity"
"nositeli iranskikh dialektakh v Farse na Juge Irana";"identity / self-description / samonazvanie / samosoznanie";"136702";"1989_5";"Groups";"past";"Factual Statement by Author";NA;"proximity / similarity"
"etn. gruppy, govorjasshie na nardskikh jazykah v Afganistane";"identity / self-description / samonazvanie / samosoznanie";"136702";"1989_5";"Groups in Afghanistan";"past";"Factual Statement by Author";NA;"proximity / similarity"
"srednevekovyj Iran";"literature / poslovica / pogovorki";"138990";"1982_4";"Historical locations";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"proximity / similarity"
"uzbeki (Afghanistan)";"language / spoken (incl. dialects)";"139454";"1955_2";"Groups in Afghanistan";NA;"Factual Statement by Author";NA;"proximity / similarity"
"uzbeki";"""racial type"" / rasovyj tip / rasa";"143264";"1967_5";"Central Asian titular nations";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"difference"
"drevnee evropeoidnoe naselenie";"""racial type"" / rasovyj tip / rasa";"143569";"1967_5";"Historical groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"proximity / similarity"
"uzbeki";"""racial type"" / rasovyj tip / rasa";"143689";"1967_5";"Central Asian titular nations";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"proximity / similarity"
"uzbeki-sarty / Uzbek Sarts";"weddings / svadebnye obychai i obrjady / kalym";"144673";"1981_2";"uzbeki";NA;NA;NA;NA
"Khorezmskij oazis";"weddings / svadebnye obychai i obrjady / kalym";"144673";"1981_2";"Locations";NA;NA;NA;NA
"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"weddings / svadebnye obychai i obrjady / kalym";"144673";"1981_2";"Groups in Iran";NA;NA;NA;NA
"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"145338";"1981_2";"Groups in Iran";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"religion (Islam)";"145338";"1981_2";"Groups in Iran";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"religion / spirituality (pre-Muslim)";"145338";"1981_2";"Groups in Iran";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"weddings / svadebnye obychai i obrjady / kalym";"145338";"1981_2";"Groups in Iran";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"folk tales / legends / predanii";"145338";"1981_2";"Groups in Iran";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"language / spoken (incl. dialects)";"145338";"1981_2";"Groups in Iran";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"uzbeki Khorezma";"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"145338";"1981_2";"uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"uzbeki Khorezma";"religion (Islam)";"145338";"1981_2";"uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"uzbeki Khorezma";"religion / spirituality (pre-Muslim)";"145338";"1981_2";"uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"uzbeki Khorezma";"weddings / svadebnye obychai i obrjady / kalym";"145338";"1981_2";"uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"uzbeki Khorezma";"folk tales / legends / predanii";"145338";"1981_2";"uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"uzbeki Khorezma";"language / spoken (incl. dialects)";"145338";"1981_2";"uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"Bajsunskie i Kugitanskie gora";"skotovodstvo / zhivotnovodstvo / animal husbandry";"145761";"1969_3";"Locations";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"turkmeny";"skotovodstvo / zhivotnovodstvo / animal husbandry";"145761";"1969_3";"Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"sredneaziatskie araby / Central Asian Arabs";"skotovodstvo / zhivotnovodstvo / animal husbandry";"145761";"1969_3";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"iranojazychnye narodnosti po beregam r. Pjandzha i Amudar'i";"skotovodstvo / zhivotnovodstvo / animal husbandry";"145761";"1969_3";"Groups in Iran";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"polukochevye uzbeki";"skotovodstvo / zhivotnovodstvo / animal husbandry";"145761";"1969_3";"uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"uzbeki";"skotovodstvo / zhivotnovodstvo / animal husbandry";"153873";"1969_3";"Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"kavkazskie gornye gruppy";"""racial type"" / rasovyj tip / rasa";"158206";"1978_5";"narody Kavkaza";NA;"Factual Statement by Author";NA;"proximity / similarity"
"parsy";"""racial type"" / rasovyj tip / rasa";"158206";"1978_5";"Groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"uzbeki";"housing / architecture / zhilisshe";"166817";"1982_5";"Central Asian titular nations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"kirgizy";"housing / architecture / zhilisshe";"166817";"1982_5";"Central Asian titular nations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"Soviet Union";"education";"168358";"1985_2";"Locations";"present";"Citation other sources of knowledge: f.e. statistics";"Continuity";NA
"Soviet Union";"education";"168358";"1985_2";"Locations";"past: early Soviet";"Citation other sources of knowledge: f.e. statistics";"Continuity";NA
"Uzbek women / uzbechki";"clothing";"169822";"1963_2";"uzbeki";"present";"Factual Statement by Author";NA;"proximity / similarity"
"kurdskie zhensshiny / Kurdish women";"clothing";"169822";"1963_2";"kurdy / Kurds";"present";"Factual Statement by Author";NA;"proximity / similarity"
"azerbajdzhanskie zhensshiny / Azerbaijani women";"clothing";"169822";"1963_2";"azerbajdzhancy";"present";"Factual Statement by Author";NA;"proximity / similarity"
"Bostandykskij rajon Tashkentskoj oblasti";"skotovodstvo / zhivotnovodstvo / animal husbandry";"170033";"1959_4";"Uzbekistan / Uzbekskaja SSR";NA;NA;NA;"proximity / similarity"
"Bostandykskij rajon Tashkentskoj oblasti";"khozjajstvo / economy";"170033";"1959_4";"Uzbekistan / Uzbekskaja SSR";NA;NA;NA;"proximity / similarity"
"uzbeki Juzhnogo Tadzhikistana";"skotovodstvo / zhivotnovodstvo / animal husbandry";"170033";"1959_4";"uzbeki";NA;NA;NA;"proximity / similarity"
"uzbeki Juzhnogo Tadzhikistana";"khozjajstvo / economy";"170033";"1959_4";"uzbeki";NA;NA;NA;"proximity / similarity"
"Kyrgyz women / kirgizki";"clothing";"171956";"1982_5";"kirgizy";"present";"Factual Statement by Author";NA;NA
"Kyrgyz women / kirgizki";"generational social structure";"171956";"1982_5";"kirgizy";"present";"Factual Statement by Author";NA;NA
"durmeny Tadzhikistana";"obraz zhizni (kochevoj/osedly) / lifestyle (nomadic/sedentary)";"173012";"1969_2";"uzbeki";"present";"Factual Statement by Author";NA;"proximity / similarity"
"durmeny Tadzhikistana";"weddings / svadebnye obychai i obrjady / kalym";"173012";"1969_2";"uzbeki";"present";"Factual Statement by Author";NA;"proximity / similarity"
"uzbeki";"weddings / svadebnye obychai i obrjady / kalym";"173662";"1969_2";"Central Asian titular nations";"past";"Factual Statement by Author";NA;"proximity / similarity"
"kazakhi";"weddings / svadebnye obychai i obrjady / kalym";"173662";"1969_2";"Central Asian titular nations";"past";"Factual Statement by Author";NA;"proximity / similarity"
"kirgizy";"weddings / svadebnye obychai i obrjady / kalym";"173662";"1969_2";"Central Asian titular nations";"past";"Factual Statement by Author";NA;"proximity / similarity"
"karakalpaki";"weddings / svadebnye obychai i obrjady / kalym";"173662";"1969_2";"Groups";"past";"Factual Statement by Author";NA;"proximity / similarity"
"durmeny Tadzhikistana";"weddings / svadebnye obychai i obrjady / kalym";"173662";"1969_2";"uzbeki";"past";"Factual Statement by Author";NA;"proximity / similarity"
"sel'skoe naselenie Turkmenistana";"clothing";"174444";"1982_5";"turkmeny";NA;"Factual Statement by Author";NA;NA
"Uzbek women / uzbechki";"education";"175264";"1985_2";"uzbeki";"present";"Citation other sources of knowledge: f.e. statistics";NA;NA
"Uzbek women / uzbechki";"cennostnye / socionormativnye ustanovki / values";"175264";"1985_2";"uzbeki";"present";"Citation other sources of knowledge: f.e. statistics";NA;NA
"Turkmen women / turkmenki";"education";"175264";"1985_2";"turkmeny";"present";"Citation other sources of knowledge: f.e. statistics";NA;NA
"Turkmen women / turkmenki";"cennostnye / socionormativnye ustanovki / values";"175264";"1985_2";"turkmeny";"present";"Citation other sources of knowledge: f.e. statistics";NA;NA
"Uzbek women / uzbechki";"education";"175801";"1985_2";"uzbeki";"present";"Citation other sources of knowledge: f.e. statistics";NA;NA
"Turkmen women / turkmenki";"education";"175801";"1985_2";"turkmeny";"present";"Citation other sources of knowledge: f.e. statistics";NA;NA
"Russians in Central Asia";"education";"175801";"1985_2";"russkij narod / Russians";"present";"Citation other sources of knowledge: f.e. statistics";NA;NA
"uzbeki";"gender relations / polozhenie zhensshiny";"176214";"1985_2";"Central Asian titular nations";"present";"Factual Statement by Author";NA;NA
"uzbeki";"family structure / semejnye otnoshenija";"176214";"1985_2";"Central Asian titular nations";"present";"Factual Statement by Author";NA;NA
"uzbeki";"obraz zhizni (kochevoj/osedly) / lifestyle (nomadic/sedentary)";"176214";"1985_2";"Central Asian titular nations";"present";"Factual Statement by Author";NA;NA
"uzbeki";"cennostnye / socionormativnye ustanovki / values";"176214";"1985_2";"Central Asian titular nations";"present";"Factual Statement by Author";NA;NA
"turkmeny";"gender relations / polozhenie zhensshiny";"176214";"1985_2";"Central Asian titular nations";"present";"Factual Statement by Author";NA;NA
"turkmeny";"family structure / semejnye otnoshenija";"176214";"1985_2";"Central Asian titular nations";"present";"Factual Statement by Author";NA;NA
"turkmeny";"obraz zhizni (kochevoj/osedly) / lifestyle (nomadic/sedentary)";"176214";"1985_2";"Central Asian titular nations";"present";"Factual Statement by Author";NA;NA
"turkmeny";"cennostnye / socionormativnye ustanovki / values";"176214";"1985_2";"Central Asian titular nations";"present";"Factual Statement by Author";NA;NA
"uzbeki";"social relations / obsshestvenno-ekonomicheskie otnoshenija";"18003";"1964_1";"Central Asian titular nations";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"proximity / similarity"
"turkmeny";"food / cooking / pissha";"185347";"1982_5";"Central Asian titular nations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"uzbeki";"food / cooking / pissha";"185347";"1982_5";"Central Asian titular nations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"polukochevye uzbeki";"weddings / svadebnye obychai i obrjady / kalym";"186139";"1980_1";"uzbeki";"present";NA;"Continuity";"proximity / similarity"
"polukochevye uzbeki";"weddings / svadebnye obychai i obrjady / kalym";"186139";"1980_1";"uzbeki";"past";NA;"Continuity";"proximity / similarity"
"uzbeki";"""racial type"" / rasovyj tip / rasa";"188227";"1962_3";"Central Asian titular nations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"uzbeki Juzhnogo Tadzhikistana";"weddings / svadebnye obychai i obrjady / kalym";"188597";"1969_2";"uzbeki";"present";"Factual Statement by Author";NA;"difference"
"polukochevye uzbeki";"weddings / svadebnye obychai i obrjady / kalym";"193421";"1969_2";"uzbeki";"past";NA;NA;"influence"
"kirgizy Dzhirgatal'skogo rajona Tadzhikskoj SSR";"language / terminology";"199062";"1959_4";"kirgizy";NA;NA;NA;"proximity / similarity"
"kirgizy Dzhirgatal'skogo rajona Tadzhikskoj SSR";"perezhitki / survivals";"199062";"1959_4";"kirgizy";NA;NA;NA;"proximity / similarity"
"kirgizy Dzhirgatal'skogo rajona Tadzhikskoj SSR";"verovanija / mify / beliefs / myths";"199062";"1959_4";"kirgizy";NA;NA;NA;"proximity / similarity"
"kirgizy Dzhirgatal'skogo rajona Tadzhikskoj SSR";"religion (Islam)";"199062";"1959_4";"kirgizy";NA;NA;NA;"proximity / similarity"
"kirgizy Dzhirgatal'skogo rajona Tadzhikskoj SSR";"religioznye obrjady, simvoly / religious rites, symbols";"199062";"1959_4";"kirgizy";NA;NA;NA;"proximity / similarity"
"kirgizy vostochnogo Pamira";"language / terminology";"199062";"1959_4";"kirgizy";NA;NA;NA;"proximity / similarity"
"kirgizy vostochnogo Pamira";"perezhitki / survivals";"199062";"1959_4";"kirgizy";NA;NA;NA;"proximity / similarity"
"kirgizy vostochnogo Pamira";"verovanija / mify / beliefs / myths";"199062";"1959_4";"kirgizy";NA;NA;NA;"proximity / similarity"
