"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"event_or_period"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"39263";"1961_4";"Groups, Pamir groups";"present";"Factual Statement by Author";NA;"massovye pereselenija / forced resettlements 1940s-early 1950s"
"jagnobcy / Yaghnobis";"tadzhiki";"39263";"1961_4";"Groups, Groups";"present";"Factual Statement by Author";NA;"massovye pereselenija / forced resettlements 1940s-early 1950s"
"jagnobcy / Yaghnobis";"pripamirskie narodnosti / narody / pripamircy";"39263";"1961_4";"Pamir groups, Groups";"present";"Factual Statement by Author";NA;"massovye pereselenija / forced resettlements 1940s-early 1950s"
"gornye tadzhiki";"Karategin";"419734";"1954_3";"tadzhiki, gornyj juzhnyj Tadzhikistan";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"gody kollektivizacii"
"gornye tadzhiki";"ravninnye oblasty / rajony juzhnogo Zadzhikistana";"419785";"1954_3";"ravninnye oblasty / rajony Tadzhikistana, tadzhiki";"present";"Factual Statement by Author";"Rupture";"massovye pereselenija / forced resettlements 1940s-early 1950s"
"gornye tadzhiki";"ravninnye oblasty / rajony juzhnogo Zadzhikistana";"419785";"1954_3";"ravninnye oblasty / rajony Tadzhikistana, tadzhiki";"present";"Factual Statement by Author";"Rupture";"process urbanizacii / urbanizacija"
"prisyrdar'inskij rajon";"tadzhiki Nuratinskogo khrebta";"43508";"1964_1";"Northern Tajikistan, gornye tadzhiki";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA;"massovye pereselenija / forced resettlements 1940s-early 1950s"
"prisyrdar'inskij rajon";"tadzhiki Nuratinskogo khrebta";"43508";"1964_1";"Northern Tajikistan, gornye tadzhiki";"present";"Factual Statement by Author";NA;"massovye pereselenija / forced resettlements 1940s-early 1950s"
"Isfara";"Ura-Tjube";"55722";"1982_3";"Ferghana / Ferganskaja dolina, Ferghana / Ferganskaja dolina";"past: early Soviet";"Factual Statement by Author";NA;"process urbanizacii / urbanizacija"
"Isfara";"Ura-Tjube";"55722";"1982_3";"Ferghana / Ferganskaja dolina, Ferghana / Ferganskaja dolina";"present";"Factual Statement by Author";NA;"process urbanizacii / urbanizacija"
"Isfara";"Ura-Tjube";"63448";"1982_3";"Ferghana / Ferganskaja dolina, Ferghana / Ferganskaja dolina";"present";"Factual Statement by Author";NA;"process urbanizacii / urbanizacija"
"Isfara";"Ura-Tjube";"65727";"1982_3";"Ferghana / Ferganskaja dolina, Ferghana / Ferganskaja dolina";"present";"Factual Statement by Author";NA;"process urbanizacii / urbanizacija"
"Golodnaja step'";"tadzhiki-matchincy";"89932";"1962_3";"gornye tadzhiki, Ferghana / Ferganskaja dolina";"present";NA;NA;"massovye pereselenija / forced resettlements 1940s-early 1950s"
