"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation"
"Soviet Union";"mixed / coexisting";"110541";"1965_6";"Locations";"present";"Factual Statement by Author";NA
"tadzhiki";"mixed / coexisting";"110610";"1955_3";"Groups";"present";"Factual Statement by Author";"Rupture"
"tadzhiki";"changing / in a process of change";"110610";"1955_3";"Groups";"present";"Factual Statement by Author";"Rupture"
"tadzhiki";"modern / sovremennyj";"110610";"1955_3";"Groups";"present";"Factual Statement by Author";"Rupture"
"tadzhiki";"progressive / peredovyj / novyj / efficient";"110610";"1955_3";"Groups";"present";"Factual Statement by Author";"Rupture"
"tadzhiki";"urban";"110610";"1955_3";"Groups";"present";"Factual Statement by Author";"Rupture"
"tadzhiki";"kul'turno / cultured";"110610";"1955_3";"Groups";"present";"Factual Statement by Author";"Rupture"
"tadzhiki";"diverse / mnogoobrazno";"110610";"1955_3";"Groups";"present";"Factual Statement by Author";"Rupture"
"tadzhiki";"traditional / narodnyj / nacional'nyj";"110610";"1955_3";"Groups";"present";"Factual Statement by Author";"Rupture"
"Soviet Union";"mixed / coexisting";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture"
"Soviet Union";"changing / in a process of change";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture"
"Soviet Union";"modern / sovremennyj";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture"
"Soviet Union";"progressive / peredovyj / novyj / efficient";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture"
"Soviet Union";"urban";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture"
"Soviet Union";"kul'turno / cultured";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture"
"Soviet Union";"diverse / mnogoobrazno";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture"
"Soviet Union";"traditional / narodnyj / nacional'nyj";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture"
"pripamirskie narodnosti / narody / pripamircy";"Muslim";"111043";"1965_6";"Pamiri groups";NA;"Factual Statement by Author";NA
"uzbeki";"developed / razvito";"114181";"1970_1";"Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA
"ravninnye tadzhiki";"developed / razvito";"114181";"1970_1";"groups in plainland regions";"past: pre-Soviet";"Factual Statement by Author";NA
"kochevye narody";"patriarchal";"114366";"1970_1";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA
"kochevye narody";"otstalyj / backward";"114366";"1970_1";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA
"kirgizy";"patriarchal";"114366";"1970_1";"Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA
"kirgizy";"otstalyj / backward";"114366";"1970_1";"Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA
"turkmeny";"patriarchal";"114366";"1970_1";"Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA
"turkmeny";"otstalyj / backward";"114366";"1970_1";"Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA
"polukochevye narody / narodnosti";"patriarchal";"114366";"1970_1";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA
"polukochevye narody / narodnosti";"otstalyj / backward";"114366";"1970_1";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA
"kazakhi";"patriarchal";"114366";"1970_1";"Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA
"kazakhi";"otstalyj / backward";"114366";"1970_1";"Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA
"polukochevye uzbeki";"patriarchal";"114366";"1970_1";"uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA
"polukochevye uzbeki";"otstalyj / backward";"114366";"1970_1";"uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA
"karakalpaki";"patriarchal";"114366";"1970_1";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA
"karakalpaki";"otstalyj / backward";"114366";"1970_1";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"patriarchal";"114366";"1970_1";"Tajikistan / TadzhSSR";"past: pre-Soviet";"Factual Statement by Author";NA
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"otstalyj / backward";"114366";"1970_1";"Tajikistan / TadzhSSR";"past: pre-Soviet";"Factual Statement by Author";NA
"gornye tadzhiki";"patriarchal";"114366";"1970_1";"groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA
"gornye tadzhiki";"otstalyj / backward";"114366";"1970_1";"groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"changing / in a process of change";"115389";"1955_3";"Tajikistan / TadzhSSR";"present";"Factual Statement by Author";"Rupture"
"ravninnye oblasti Tadzh. / plainland regions of Tajikistan";"changing / in a process of change";"115389";"1955_3";"Tajikistan / TadzhSSR";"present";"Factual Statement by Author";"Rupture"
"verkhovja Jagnoba / Yaghnob";"threatened / attacked / in need of protection";"116085";"1989_5";"gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan";"present";"Factual Statement by Author";NA
"verkhovja Jagnoba / Yaghnob";"vanishing / being replaced or erased";"116085";"1989_5";"gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan";"present";"Factual Statement by Author";NA
"Kuljabskaja oblast' / Kuljab";"archaic / arkhaichno";"117825";"1955_3";"Southern Tajikistan";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture"
"Garm / Garmskaja oblast'";"archaic / arkhaichno";"117825";"1955_3";"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture"
"Tajikistan / TadzhSSR";"archaic / arkhaichno";"117825";"1955_3";"Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture"
"tadzhiki v severnom Afganistane";"threatened / attacked / in need of protection";"118925";"1955_2";"Tajiks outside the Tajik SSR";"past: pre-Russian Empire / pre-Russian colonialism";NA;"Continuity"
"tadzhiki v severnom Afganistane";"threatened / attacked / in need of protection";"118925";"1955_2";"Tajiks outside the Tajik SSR";"past: pre-Soviet";NA;"Continuity"
"tadzhiki v severnom Afganistane";"threatened / attacked / in need of protection";"118925";"1955_2";"Tajiks outside the Tajik SSR";"past: early Soviet";NA;"Continuity"
"tadzhiki";"atheist / non-spiritual / materialist";"123978";"1989_5";"Groups";"present";"Factual Statement by Author";"Continuity"
"pripamirskie narodnosti / narody / pripamircy";"atheist / non-spiritual / materialist";"123978";"1989_5";"Pamiri groups";"present";"Factual Statement by Author";"Continuity"
"polukochevye uzbeki";"traditional / narodnyj / nacional'nyj";"124201";"1971_4";"uzbeki";NA;"Factual Statement by Author";NA
"osedlye uzbeki";"traditional / narodnyj / nacional'nyj";"124201";"1971_4";"uzbeki";NA;"Factual Statement by Author";NA
"karakalpaki Fergany / Karakalpaki of Ferghana";"traditional / narodnyj / nacional'nyj";"124201";"1971_4";"karakalpaki";NA;"Factual Statement by Author";NA
"osedlye tadzhiki Fergany / sedentary Tajiks of Ferghana";"traditional / narodnyj / nacional'nyj";"124201";"1971_4";"groups in plainland regions";NA;"Factual Statement by Author";NA
"osedlye uzbeki Fergany (Ferghana, Tajikistan)";"traditional / narodnyj / nacional'nyj";"124201";"1971_4";"uzbeki";NA;"Factual Statement by Author";NA
"polukochevye uzbeki Fergany (Ferghana, Tajikistan)";"traditional / narodnyj / nacional'nyj";"124201";"1971_4";"uzbeki";NA;"Factual Statement by Author";NA
"narody Srednej Azii i Kazakhstana";"growing (economy,  production)";"127931";"1961_2";"Groups";NA;NA;NA
"narody Srednej Azii i Kazakhstana";"changing / in a process of change";"127931";"1961_2";"Groups";NA;NA;NA
"tadzhiki";"growing (economy,  production)";"127931";"1961_2";"Groups";NA;NA;NA
"tadzhiki";"changing / in a process of change";"127931";"1961_2";"Groups";NA;NA;NA
"uzbeki Khorezma";"atheist / non-spiritual / materialist";"128546";"1982_5";"uzbeki";"present";"Factual Statement by Author";NA
"tadzhiki";"atheist / non-spiritual / materialist";"128546";"1982_5";"Groups";"present";"Factual Statement by Author";NA
"kirgizy";"atheist / non-spiritual / materialist";"128546";"1982_5";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"Leninabadskij rajon / oblast' / kraj";"obespechenno (material'noe blagosostojanie) / well off";"130301";"1990_2";"Northern Tajikistan";"past: early Soviet";"Factual Statement by Author";NA
"Leninabadskij rajon / oblast' / kraj";"developed / razvito";"130301";"1990_2";"Northern Tajikistan";"past: early Soviet";"Factual Statement by Author";NA
"Leninabadskij rajon / oblast' / kraj";"growing (economy,  production)";"130301";"1990_2";"Northern Tajikistan";"past: early Soviet";"Factual Statement by Author";NA
"Leninabadskij rajon / oblast' / kraj";"growing (population: mnogodetnost')";"130301";"1990_2";"Northern Tajikistan";"past: early Soviet";"Factual Statement by Author";NA
"Leninabadskij rajon / oblast' / kraj";"modern / sovremennyj";"130301";"1990_2";"Northern Tajikistan";"past: early Soviet";"Factual Statement by Author";NA
"narody Srednej Azii i Kazakhstana";"progressive / progressivnyj";"131740";"1971_4";"Groups";"present";"Factual Statement by Author";NA
"narody Srednej Azii i Kazakhstana";"changing / in a process of change";"131740";"1971_4";"Groups";"present";"Factual Statement by Author";NA
"narody Srednej Azii i Kazakhstana";"egalitarian / liberated";"131740";"1971_4";"Groups";"present";"Factual Statement by Author";NA
"narody Srednej Azii i Kazakhstana";"unique / locally specific / svoeobraznyj / samobytnyj";"131740";"1971_4";"Groups";"present";"Factual Statement by Author";NA
"tadzhiki-gorozhani";"regressive / reactionary";"132418";"1986_2";"gorodskoe naselenie Tadzh. / urban population of Tajikistan";"present";"Factual Statement by Author";NA
"byvshie musul'manskie regiony SSSR";"regressive / reactionary";"132418";"1986_2";"Historical locations";"present";"Factual Statement by Author";NA
"gal'cha";"vanishing / being replaced or erased";"132451";"1990_2";"groups in mountainous regions";"present";"Factual Statement by Author";NA
"gornye tadzhiki";"vanishing / being replaced or erased";"132451";"1990_2";"groups in mountainous regions";"present";"Factual Statement by Author";NA
"byvshie musul'manskie regiony SSSR";"regressive / reactionary";"132618";"1986_2";"Historical locations";"present";"Factual Statement by Author";NA
"tadzhiki-gorozhani";"regressive / reactionary";"132618";"1986_2";"gorodskoe naselenie Tadzh. / urban population of Tajikistan";"present";"Factual Statement by Author";NA
"tadzhiki";"loyal / trustworthy";"134627";"1989_5";"Groups";NA;"Correction of cited research or literature";NA
"pamircy";"loyal / trustworthy";"134627";"1989_5";"Pamiri groups";NA;"Correction of cited research or literature";NA
"tadzhiki";"disloyal / suspect";"135000";"1989_5";"Groups";NA;NA;NA
"tadzhiki";"nationalist / nacionalisticheskij";"135000";"1989_5";"Groups";NA;NA;NA
"pamircy";"disloyal / suspect";"135000";"1989_5";"Pamiri groups";NA;NA;NA
"pamircy";"nationalist / nacionalisticheskij";"135000";"1989_5";"Pamiri groups";NA;NA;NA
"gornye tadzhiki";"evropeoidno / Caucasian / Europoid (racial classification)";"143569";"1967_5";"groups in mountainous regions";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"drevnee evropeoidnoe naselenie";"evropeoidno / Caucasian / Europoid (racial classification)";"143569";"1967_5";"Historical groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"Western Pamirs / Sapadnyj Pamir";"isolated / otdalennyj / trudnodostupnyj";"15596";"1967_1";"Pamir";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"kurdskie zhensshiny / Kurdish women";"traditional / narodnyj / nacional'nyj";"169822";"1963_2";"kurdy / Kurds";"present";"Factual Statement by Author";NA
"azerbajdzhanskie zhensshiny / Azerbaijani women";"traditional / narodnyj / nacional'nyj";"169822";"1963_2";"azerbajdzhancy";"present";"Factual Statement by Author";NA
"Uzbek women / uzbechki";"traditional / narodnyj / nacional'nyj";"169822";"1963_2";"uzbeki";"present";"Factual Statement by Author";NA
"Tajik women / tadzhichki";"traditional / narodnyj / nacional'nyj";"169822";"1963_2";"tadzhiki";"present";"Factual Statement by Author";NA
"verkhovya Matchi";"traditional / narodnyj / nacional'nyj";"171225";"1982_5";"gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan";"past: early Soviet";"Factual Statement by Author";"Continuity"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"traditional / narodnyj / nacional'nyj";"171225";"1982_5";"Tajikistan / TadzhSSR";"past: early Soviet";"Factual Statement by Author";"Continuity"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"changing / in a process of change";"171363";"1982_5";"Tajikistan / TadzhSSR";"present";"Factual Statement by Author";"Rupture"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"modern / sovremennyj";"171363";"1982_5";"Tajikistan / TadzhSSR";"present";"Factual Statement by Author";"Rupture"
"verkhovya Matchi";"changing / in a process of change";"171363";"1982_5";"gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan";"present";"Factual Statement by Author";"Rupture"
"verkhovya Matchi";"modern / sovremennyj";"171363";"1982_5";"gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan";"present";"Factual Statement by Author";"Rupture"
"pamirskie zhensshiny / Pamiri women";"modern / sovremennyj";"171956";"1982_5";"Pamiri groups";"present";"Factual Statement by Author";NA
"Kyrgyz women / kirgizki";"modern / sovremennyj";"171956";"1982_5";"kirgizy";"present";"Factual Statement by Author";NA
"sel'skie zhiteli korennykh nacional'nostej Srednej Azii";"local / no migration";"18871";"1985_1";"Groups";"present";"Factual Statement by Author";NA
"sel'skie zhiteli korennykh nacional'nostej Srednej Azii";"growing (population: mnogodetnost')";"18871";"1985_1";"Groups";"present";"Factual Statement by Author";NA
"sel'skoe naselenie Tadzh. / rural population of Tajikistan";"local / no migration";"18871";"1985_1";"Groups";"present";"Factual Statement by Author";NA
"sel'skoe naselenie Tadzh. / rural population of Tajikistan";"growing (population: mnogodetnost')";"18871";"1985_1";"Groups";"present";"Factual Statement by Author";NA
"tadzhiki";"traditional / narodnyj / nacional'nyj";"18876";"1964_4";"Groups";"present";"Factual Statement by Author";"Continuity"
"tadzhiki";"mixed / coexisting";"18876";"1964_4";"Groups";"present";"Factual Statement by Author";"Continuity"
"pripamirskie narodnosti / narody / pripamircy";"traditional / narodnyj / nacional'nyj";"18876";"1964_4";"Pamiri groups";"present";"Factual Statement by Author";"Continuity"
"pripamirskie narodnosti / narody / pripamircy";"mixed / coexisting";"18876";"1964_4";"Pamiri groups";"present";"Factual Statement by Author";"Continuity"
"jagnobcy / Yaghnobis";"traditional / narodnyj / nacional'nyj";"18876";"1964_4";"groups in mountainous regions";"present";"Factual Statement by Author";"Continuity"
"jagnobcy / Yaghnobis";"mixed / coexisting";"18876";"1964_4";"groups in mountainous regions";"present";"Factual Statement by Author";"Continuity"
"malochislennye etnograficheskie gruppy";"mixed / coexisting";"193227";"1966_4";"Groups";"present";"Literature Review";NA
"tadzhiki";"mixed / coexisting";"193227";"1966_4";"Groups";"present";"Literature Review";NA
"Tajik women / tadzhichki";"modern / sovremennyj";"20325";"1962_6";"tadzhiki";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA
"Tajik women / tadzhichki";"modern / sovremennyj";"20325";"1962_6";"tadzhiki";"past: early Soviet";"Factual Statement by Author";NA
"Tajik women / tadzhichki";"urban";"20325";"1962_6";"tadzhiki";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA
"Tajik women / tadzhichki";"urban";"20325";"1962_6";"tadzhiki";"past: early Soviet";"Factual Statement by Author";NA
"russkij narod / Russians";"modern / sovremennyj";"20325";"1962_6";"Groups";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA
"russkij narod / Russians";"modern / sovremennyj";"20325";"1962_6";"Groups";"past: early Soviet";"Factual Statement by Author";NA
"russkij narod / Russians";"urban";"20325";"1962_6";"Groups";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA
"russkij narod / Russians";"urban";"20325";"1962_6";"Groups";"past: early Soviet";"Factual Statement by Author";NA
"tadzhiki Nuratinskogo khrebta";"threatened / attacked / in need of protection";"20740";"1964_1";"groups in mountainous regions";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA
"Eastern Pamirs / Vostochnyj Pamir";"inhospitable / adverse conditions";"207430";"1959_4";"Pamir";NA;"Factual Statement by Author";NA
"Eastern Pamirs / Vostochnyj Pamir";"isolated / otdalennyj / trudnodostupnyj";"207430";"1959_4";"Pamir";NA;"Factual Statement by Author";NA
"Leninabadskij rajon / oblast' / kraj";"progressive / peredovyj / novyj / efficient";"207461";"1955_4";"Northern Tajikistan";"present";NA;NA
"Leninabadskij rajon / oblast' / kraj";"growing (economy,  production)";"207461";"1955_4";"Northern Tajikistan";"present";NA;NA
"tadzhikskij khlopkovodcheskij kolkhoz v Chkalovske";"progressive / peredovyj / novyj / efficient";"207461";"1955_4";"Leninabadskij rajon / oblast' / kraj";"present";NA;NA
"tadzhikskij khlopkovodcheskij kolkhoz v Chkalovske";"growing (economy,  production)";"207461";"1955_4";"Leninabadskij rajon / oblast' / kraj";"present";NA;NA
"Western Pamirs / Sapadnyj Pamir";"hospitable";"207650";"1959_4";"Pamir";NA;"Factual Statement by Author";NA
"Western Pamirs / Sapadnyj Pamir";"developed / razvito";"207650";"1959_4";"Pamir";NA;"Factual Statement by Author";NA
"Western Pamirs / Sapadnyj Pamir";"obespechenno (material'noe blagosostojanie) / well off";"207650";"1959_4";"Pamir";NA;"Factual Statement by Author";NA
"gornye tadzhiki";"superstitious";"211737";"1962_5";"groups in mountainous regions";"present";"Factual Statement by Author";NA
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"malodokhodno / inefficient / un-economical";"213815";"1955_4";"Leninabadskij rajon / oblast' / kraj";"past: pre-Russian Empire / pre-Russian colonialism";NA;"Rupture"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"undemocratic / hierarchical / despotic";"213815";"1955_4";"Leninabadskij rajon / oblast' / kraj";"past: pre-Russian Empire / pre-Russian colonialism";NA;"Rupture"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"inhospitable / adverse conditions";"213815";"1955_4";"Leninabadskij rajon / oblast' / kraj";"past: pre-Russian Empire / pre-Russian colonialism";NA;"Rupture"
"tadzhiki";"otstalyj / backward";"2174";"1964-6";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA
"tadzhiki";"suppressed / ugnetennyj / exploited / exploitative";"2174";"1964-6";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA
"Leninabadskij rajon / oblast' / kraj";"collectivist";"223524";"1955_4";"Northern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA
"Tajikistan / TadzhSSR";"developed / razvito";"22484";"1964-6";"Locations";"present";"Factual Statement by Author";NA
"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"traditional / narodnyj / nacional'nyj";"225450";"1957_2";"Groups in Iran";"past: pre-Islamic / pre-Arab conquest";"Factual Statement by Author";"Continuity"
"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"traditional / narodnyj / nacional'nyj";"225450";"1957_2";"Groups in Iran";"present";"Factual Statement by Author";"Continuity"
"gornye tadzhiki";"traditional / narodnyj / nacional'nyj";"225450";"1957_2";"groups in mountainous regions";"past: pre-Islamic / pre-Arab conquest";"Factual Statement by Author";"Continuity"
"gornye tadzhiki";"traditional / narodnyj / nacional'nyj";"225450";"1957_2";"groups in mountainous regions";"present";"Factual Statement by Author";"Continuity"
"gornye tadzhiki bassejna r. Khingou";"traditional / narodnyj / nacional'nyj";"225450";"1957_2";"gornye tadzhiki";"past: pre-Islamic / pre-Arab conquest";"Factual Statement by Author";"Continuity"
"gornye tadzhiki bassejna r. Khingou";"traditional / narodnyj / nacional'nyj";"225450";"1957_2";"gornye tadzhiki";"present";"Factual Statement by Author";"Continuity"
"tadzhiki";"changing / in a process of change";"230822";"1959_4";"Groups";"present";"Factual Statement by Author";NA
"tadzhiki";"flawed / in need of improvement";"230822";"1959_4";"Groups";"present";"Factual Statement by Author";NA
"tadzhiki";"atheist / non-spiritual / materialist";"230822";"1959_4";"Groups";"present";"Factual Statement by Author";NA
"tadzhiki";"mixed / coexisting";"230822";"1959_4";"Groups";"present";"Factual Statement by Author";NA
"kirgizy vostochnogo Pamira";"changing / in a process of change";"230822";"1959_4";"kirgizy";"present";"Factual Statement by Author";NA
"kirgizy vostochnogo Pamira";"flawed / in need of improvement";"230822";"1959_4";"kirgizy";"present";"Factual Statement by Author";NA
"kirgizy vostochnogo Pamira";"atheist / non-spiritual / materialist";"230822";"1959_4";"kirgizy";"present";"Factual Statement by Author";NA
"kirgizy vostochnogo Pamira";"mixed / coexisting";"230822";"1959_4";"kirgizy";"present";"Factual Statement by Author";NA
"Leninabadskij rajon / oblast' / kraj";"suppressed / ugnetennyj / exploited / exploitative";"235918";"1955_4";"Northern Tajikistan";"past: pre-Soviet";NA;NA
"Leninabadskij rajon / oblast' / kraj";"malodokhodno / inefficient / un-economical";"235918";"1955_4";"Northern Tajikistan";"past: pre-Soviet";NA;NA
"Leninabadskij rajon / oblast' / kraj";"inhospitable / adverse conditions";"235918";"1955_4";"Northern Tajikistan";"past: pre-Soviet";NA;NA
"Leninabadskij rajon / oblast' / kraj";"undemocratic / hierarchical / despotic";"235918";"1955_4";"Northern Tajikistan";"past: pre-Soviet";NA;NA
"gornye tadzhiki";"egalitarian / liberated";"236833";"1989_4";"groups in mountainous regions";"present";"Factual Statement by Author";NA
"gornye tadzhiki";"traditional / narodnyj / nacional'nyj";"236833";"1989_4";"groups in mountainous regions";"present";"Factual Statement by Author";NA
"gornye tadzhiki";"modern / sovremennyj";"236833";"1989_4";"groups in mountainous regions";"present";"Factual Statement by Author";NA
"uzbeki";"egalitarian / liberated";"236833";"1989_4";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"uzbeki";"traditional / narodnyj / nacional'nyj";"236833";"1989_4";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"uzbeki";"modern / sovremennyj";"236833";"1989_4";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"ravninnye tadzhiki";"egalitarian / liberated";"236833";"1989_4";"groups in plainland regions";"present";"Factual Statement by Author";NA
"ravninnye tadzhiki";"traditional / narodnyj / nacional'nyj";"236833";"1989_4";"groups in plainland regions";"present";"Factual Statement by Author";NA
"ravninnye tadzhiki";"modern / sovremennyj";"236833";"1989_4";"groups in plainland regions";"present";"Factual Statement by Author";NA
"Leninabadskij rajon / oblast' / kraj";"collectivist";"236847";"1955_4";"Northern Tajikistan";"past: early Soviet";NA;NA
"Leninabadskij rajon / oblast' / kraj";"malodokhodno / inefficient / un-economical";"236847";"1955_4";"Northern Tajikistan";"past: early Soviet";NA;NA
