"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"attribute"
"gornye tadzhiki";"polukochevye uzbeki";"114366";"1970_1";"uzbeki, groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"kirgizy";"114366";"1970_1";"Central Asian titular nations, Tajikistan / TadzhSSR";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"kirgizy";"114366";"1970_1";"Central Asian titular nations, Tajikistan / TadzhSSR";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"kirgizy";"turkmeny";"114366";"1970_1";"Central Asian titular nations, Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"kirgizy";"turkmeny";"114366";"1970_1";"Central Asian titular nations, Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"karakalpaki";"kirgizy";"114366";"1970_1";"Central Asian titular nations, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"karakalpaki";"kirgizy";"114366";"1970_1";"Central Asian titular nations, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"kirgizy";"polukochevye narody / narodnosti";"114366";"1970_1";"Central Asian titular nations, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"kirgizy";"polukochevye narody / narodnosti";"114366";"1970_1";"Central Asian titular nations, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"kazakhi";"kirgizy";"114366";"1970_1";"Central Asian titular nations, Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"kazakhi";"kirgizy";"114366";"1970_1";"Central Asian titular nations, Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"kirgizy";"kochevye narody";"114366";"1970_1";"Central Asian titular nations, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"kirgizy";"kochevye narody";"114366";"1970_1";"Central Asian titular nations, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"gornye tadzhiki";"kirgizy";"114366";"1970_1";"Central Asian titular nations, groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"gornye tadzhiki";"kirgizy";"114366";"1970_1";"Central Asian titular nations, groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"turkmeny";"114366";"1970_1";"Tajikistan / TadzhSSR, Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"turkmeny";"114366";"1970_1";"Tajikistan / TadzhSSR, Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"karakalpaki";"114366";"1970_1";"Tajikistan / TadzhSSR, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"karakalpaki";"114366";"1970_1";"Tajikistan / TadzhSSR, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"polukochevye narody / narodnosti";"114366";"1970_1";"Tajikistan / TadzhSSR, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"polukochevye narody / narodnosti";"114366";"1970_1";"Tajikistan / TadzhSSR, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"kazakhi";"114366";"1970_1";"Tajikistan / TadzhSSR, Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"kazakhi";"114366";"1970_1";"Tajikistan / TadzhSSR, Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"kochevye narody";"114366";"1970_1";"Tajikistan / TadzhSSR, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"kochevye narody";"114366";"1970_1";"Tajikistan / TadzhSSR, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"gornye tadzhiki";"114366";"1970_1";"Tajikistan / TadzhSSR, groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"gornye tadzhiki";"114366";"1970_1";"Tajikistan / TadzhSSR, groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"karakalpaki";"turkmeny";"114366";"1970_1";"Central Asian titular nations, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"karakalpaki";"turkmeny";"114366";"1970_1";"Central Asian titular nations, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"polukochevye narody / narodnosti";"turkmeny";"114366";"1970_1";"Central Asian titular nations, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"polukochevye narody / narodnosti";"turkmeny";"114366";"1970_1";"Central Asian titular nations, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"kazakhi";"turkmeny";"114366";"1970_1";"Central Asian titular nations, Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"kazakhi";"turkmeny";"114366";"1970_1";"Central Asian titular nations, Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"kochevye narody";"turkmeny";"114366";"1970_1";"Central Asian titular nations, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"kochevye narody";"turkmeny";"114366";"1970_1";"Central Asian titular nations, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"gornye tadzhiki";"turkmeny";"114366";"1970_1";"Central Asian titular nations, groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"gornye tadzhiki";"turkmeny";"114366";"1970_1";"Central Asian titular nations, groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"karakalpaki";"polukochevye narody / narodnosti";"114366";"1970_1";"Groups, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"karakalpaki";"polukochevye narody / narodnosti";"114366";"1970_1";"Groups, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"karakalpaki";"kazakhi";"114366";"1970_1";"Groups, Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"karakalpaki";"kazakhi";"114366";"1970_1";"Groups, Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"karakalpaki";"kochevye narody";"114366";"1970_1";"Groups, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"karakalpaki";"kochevye narody";"114366";"1970_1";"Groups, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"gornye tadzhiki";"karakalpaki";"114366";"1970_1";"Groups, groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"gornye tadzhiki";"karakalpaki";"114366";"1970_1";"Groups, groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"kazakhi";"polukochevye narody / narodnosti";"114366";"1970_1";"Groups, Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"kazakhi";"polukochevye narody / narodnosti";"114366";"1970_1";"Groups, Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"kochevye narody";"polukochevye narody / narodnosti";"114366";"1970_1";"Groups, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"kochevye narody";"polukochevye narody / narodnosti";"114366";"1970_1";"Groups, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"gornye tadzhiki";"polukochevye narody / narodnosti";"114366";"1970_1";"Groups, groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"gornye tadzhiki";"polukochevye narody / narodnosti";"114366";"1970_1";"Groups, groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"kazakhi";"kochevye narody";"114366";"1970_1";"Central Asian titular nations, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"kazakhi";"kochevye narody";"114366";"1970_1";"Central Asian titular nations, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"gornye tadzhiki";"kazakhi";"114366";"1970_1";"Central Asian titular nations, groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"gornye tadzhiki";"kazakhi";"114366";"1970_1";"Central Asian titular nations, groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"gornye tadzhiki";"kochevye narody";"114366";"1970_1";"Groups, groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"gornye tadzhiki";"kochevye narody";"114366";"1970_1";"Groups, groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"ravninnye oblasti Tadzh. / plainland regions of Tajikistan";"115389";"1955_3";"Tajikistan / TadzhSSR, Tajikistan / TadzhSSR";"present";"Factual Statement by Author";"Rupture";"changing / in a process of change"
"Garm / Garmskaja oblast'";"Tajikistan / TadzhSSR";"117825";"1955_3";"gornye oblasti Tadzh. / mountainous regions of Tajikistan, Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"archaic / arkhaichno"
"Garm / Garmskaja oblast'";"Kuljabskaja oblast' / Kuljab";"117825";"1955_3";"gornye oblasti Tadzh. / mountainous regions of Tajikistan, Southern Tajikistan";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"archaic / arkhaichno"
"Kuljabskaja oblast' / Kuljab";"Tajikistan / TadzhSSR";"117825";"1955_3";"Locations, Southern Tajikistan";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"archaic / arkhaichno"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"123978";"1989_5";"Groups, Pamir groups";"present";"Factual Statement by Author";"Continuity";"atheist / non-spiritual / materialist"
"osedlye uzbeki";"osedlye uzbeki Fergany (Ferghana, Tajikistan)";"124201";"1971_4";"uzbeki, uzbeki";NA;"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"osedlye uzbeki Fergany (Ferghana, Tajikistan)";"polukochevye uzbeki Fergany (Ferghana, Tajikistan)";"124201";"1971_4";"uzbeki, uzbeki";NA;"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"osedlye uzbeki Fergany (Ferghana, Tajikistan)";"polukochevye uzbeki";"124201";"1971_4";"uzbeki, uzbeki";NA;"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"osedlye tadzhiki Fergany / sedentary Tajiks of Ferghana";"osedlye uzbeki Fergany (Ferghana, Tajikistan)";"124201";"1971_4";"uzbeki, groups in plainland regions";NA;"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"karakalpaki Fergany / Karakalpaki of Ferghana";"osedlye uzbeki Fergany (Ferghana, Tajikistan)";"124201";"1971_4";"uzbeki, karakalpaki";NA;"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"osedlye uzbeki";"polukochevye uzbeki Fergany (Ferghana, Tajikistan)";"124201";"1971_4";"uzbeki, uzbeki";NA;"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"osedlye uzbeki";"polukochevye uzbeki";"124201";"1971_4";"uzbeki, uzbeki";NA;"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"osedlye tadzhiki Fergany / sedentary Tajiks of Ferghana";"osedlye uzbeki";"124201";"1971_4";"uzbeki, groups in plainland regions";NA;"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"karakalpaki Fergany / Karakalpaki of Ferghana";"osedlye uzbeki";"124201";"1971_4";"uzbeki, karakalpaki";NA;"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"polukochevye uzbeki";"polukochevye uzbeki Fergany (Ferghana, Tajikistan)";"124201";"1971_4";"uzbeki, uzbeki";NA;"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"osedlye tadzhiki Fergany / sedentary Tajiks of Ferghana";"polukochevye uzbeki Fergany (Ferghana, Tajikistan)";"124201";"1971_4";"uzbeki, groups in plainland regions";NA;"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"karakalpaki Fergany / Karakalpaki of Ferghana";"polukochevye uzbeki Fergany (Ferghana, Tajikistan)";"124201";"1971_4";"uzbeki, karakalpaki";NA;"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"osedlye tadzhiki Fergany / sedentary Tajiks of Ferghana";"polukochevye uzbeki";"124201";"1971_4";"uzbeki, groups in plainland regions";NA;"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"karakalpaki Fergany / Karakalpaki of Ferghana";"polukochevye uzbeki";"124201";"1971_4";"uzbeki, karakalpaki";NA;"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"karakalpaki Fergany / Karakalpaki of Ferghana";"osedlye tadzhiki Fergany / sedentary Tajiks of Ferghana";"124201";"1971_4";"groups in plainland regions, karakalpaki";NA;"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"narody Srednej Azii i Kazakhstana";"tadzhiki";"127931";"1961_2";"Groups, Groups";NA;NA;NA;"growing (economy,  production)"
"narody Srednej Azii i Kazakhstana";"tadzhiki";"127931";"1961_2";"Groups, Groups";NA;NA;NA;"changing / in a process of change"
"tadzhiki";"uzbeki Khorezma";"128546";"1982_5";"Groups, uzbeki";"present";"Factual Statement by Author";NA;"atheist / non-spiritual / materialist"
"kirgizy";"tadzhiki";"128546";"1982_5";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"atheist / non-spiritual / materialist"
"kirgizy";"uzbeki Khorezma";"128546";"1982_5";"uzbeki, Central Asian titular nations";"present";"Factual Statement by Author";NA;"atheist / non-spiritual / materialist"
"byvshie musul'manskie regiony SSSR";"tadzhiki-gorozhani";"132418";"1986_2";"Historical locations, gorodskoe naselenie Tadzh. / urban population of Tajikistan";"present";"Factual Statement by Author";NA;"regressive / reactionary"
"gal'cha";"gornye tadzhiki";"132451";"1990_2";"groups in mountainous regions, groups in mountainous regions";"present";"Factual Statement by Author";NA;"vanishing / being replaced or erased"
"byvshie musul'manskie regiony SSSR";"tadzhiki-gorozhani";"132618";"1986_2";"Historical locations, gorodskoe naselenie Tadzh. / urban population of Tajikistan";"present";"Factual Statement by Author";NA;"regressive / reactionary"
"pamircy";"tadzhiki";"134627";"1989_5";"Groups, Pamir groups";NA;"Correction of cited research or literature";NA;"loyal / trustworthy"
"pamircy";"tadzhiki";"135000";"1989_5";"Pamir groups, Groups";NA;NA;NA;"disloyal / suspect"
"pamircy";"tadzhiki";"135000";"1989_5";"Pamir groups, Groups";NA;NA;NA;"nationalist / nacionalisticheskij"
"drevnee evropeoidnoe naselenie";"gornye tadzhiki";"143569";"1967_5";"Historical groups, groups in mountainous regions";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"evropeoidno / Caucasian / Europoid (racial classification)"
"kurdskie zhensshiny / Kurdish women";"Tajik women / tadzhichki";"169822";"1963_2";"kurdy / Kurds, tadzhiki";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"azerbajdzhanskie zhensshiny / Azerbaijani women";"kurdskie zhensshiny / Kurdish women";"169822";"1963_2";"kurdy / Kurds, azerbajdzhancy";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"kurdskie zhensshiny / Kurdish women";"Uzbek women / uzbechki";"169822";"1963_2";"kurdy / Kurds, uzbeki";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"azerbajdzhanskie zhensshiny / Azerbaijani women";"Tajik women / tadzhichki";"169822";"1963_2";"tadzhiki, azerbajdzhancy";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"Tajik women / tadzhichki";"Uzbek women / uzbechki";"169822";"1963_2";"tadzhiki, uzbeki";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"azerbajdzhanskie zhensshiny / Azerbaijani women";"Uzbek women / uzbechki";"169822";"1963_2";"azerbajdzhancy, uzbeki";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"verkhovya Matchi";"171225";"1982_5";"Tajikistan / TadzhSSR, gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan";"past: early Soviet";"Factual Statement by Author";"Continuity";"traditional / narodnyj / nacional'nyj"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"verkhovya Matchi";"171363";"1982_5";"gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan, Tajikistan / TadzhSSR";"present";"Factual Statement by Author";"Rupture";"changing / in a process of change"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"verkhovya Matchi";"171363";"1982_5";"gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan, Tajikistan / TadzhSSR";"present";"Factual Statement by Author";"Rupture";"modern / sovremennyj"
"Kyrgyz women / kirgizki";"pamirskie zhensshiny / Pamiri women";"171956";"1982_5";"Pamir groups, kirgizy";"present";"Factual Statement by Author";NA;"modern / sovremennyj"
"sel'skie zhiteli korennykh nacional'nostej Srednej Azii";"sel'skoe naselenie Tadzh. / rural population of Tajikistan";"18871";"1985_1";"Groups, Groups";"present";"Factual Statement by Author";NA;"local / no migration"
"sel'skie zhiteli korennykh nacional'nostej Srednej Azii";"sel'skoe naselenie Tadzh. / rural population of Tajikistan";"18871";"1985_1";"Groups, Groups";"present";"Factual Statement by Author";NA;"growing (population: mnogodetnost')"
"jagnobcy / Yaghnobis";"tadzhiki";"18876";"1964_4";"groups in mountainous regions, Groups";"present";"Factual Statement by Author";"Continuity";"traditional / narodnyj / nacional'nyj"
"jagnobcy / Yaghnobis";"tadzhiki";"18876";"1964_4";"groups in mountainous regions, Groups";"present";"Factual Statement by Author";"Continuity";"mixed / coexisting"
"jagnobcy / Yaghnobis";"pripamirskie narodnosti / narody / pripamircy";"18876";"1964_4";"groups in mountainous regions, Pamir groups";"present";"Factual Statement by Author";"Continuity";"traditional / narodnyj / nacional'nyj"
"jagnobcy / Yaghnobis";"pripamirskie narodnosti / narody / pripamircy";"18876";"1964_4";"groups in mountainous regions, Pamir groups";"present";"Factual Statement by Author";"Continuity";"mixed / coexisting"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"18876";"1964_4";"Groups, Pamir groups";"present";"Factual Statement by Author";"Continuity";"traditional / narodnyj / nacional'nyj"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"18876";"1964_4";"Groups, Pamir groups";"present";"Factual Statement by Author";"Continuity";"mixed / coexisting"
"malochislennye etnograficheskie gruppy";"tadzhiki";"193227";"1966_4";"Groups, Groups";"present";"Literature Review";NA;"mixed / coexisting"
"russkij narod / Russians";"Tajik women / tadzhichki";"20325";"1962_6";"Groups, tadzhiki";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA;"modern / sovremennyj"
"russkij narod / Russians";"Tajik women / tadzhichki";"20325";"1962_6";"Groups, tadzhiki";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA;"urban"
"russkij narod / Russians";"Tajik women / tadzhichki";"20325";"1962_6";"Groups, tadzhiki";"past: early Soviet";"Factual Statement by Author";NA;"modern / sovremennyj"
