"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"relation"
"pripamirskie tadzhiki";"identity / self-description / samonazvanie / samosoznanie";"113692";"1965_6";"Pamiri groups";"present";"Citation informant, local population, interviewee";NA;"proximity / similarity"
"tadzhiki";"identity / self-description / samonazvanie / samosoznanie";"113692";"1965_6";"Groups";"present";"Citation informant, local population, interviewee";NA;"proximity / similarity"
"pamircy";"predki / ancestors / osnova";"113761";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki";"predki / ancestors / osnova";"113761";"1989_5";"Groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"pamircy";"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"113891";"1989_5";"Pamiri groups";NA;NA;NA;"difference"
"ravninnye tadzhiki";"mode of production / khozjajsvennyj uklad / economic system";"114181";"1970_1";"groups in plainland regions";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"gornye tadzhiki";"mode of production / khozjajsvennyj uklad / economic system";"114366";"1970_1";"groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"mode of production / khozjajsvennyj uklad / economic system";"114366";"1970_1";"Tajikistan / TadzhSSR";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"ravninnye tadzhiki";"mozaichnost' / ethnic heterogeneity";"114745";"1976_2";"groups in plainland regions";"present";"Factual Statement by Author";NA;"contact / connection (interpersonal, interethnic,...)"
"narodnosti Zapadnogo Pamira";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"114772";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki Darvaza";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"114772";"1989_5";"groups in mountainous regions";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki Karategina";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"114772";"1989_5";"groups in mountainous regions";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki v Afganistane / Tajiks in Afghanistan";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"114772";"1989_5";"Tajiks outside the Tajik SSR";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki Gissara";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"114772";"1989_5";"groups in mountainous regions";NA;"Factual Statement by Author";NA;"proximity / similarity"
"ravninnye oblasti Tadzh. / plainland regions of Tajikistan";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"115389";"1955_3";"Tajikistan / TadzhSSR";"present";"Factual Statement by Author";"Rupture";NA
"ravninnye oblasti Tadzh. / plainland regions of Tajikistan";"life on kolkhozes / kolkhoznoe krest'janstvo";"115389";"1955_3";"Tajikistan / TadzhSSR";"present";"Factual Statement by Author";"Rupture";NA
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"115389";"1955_3";"Tajikistan / TadzhSSR";"present";"Factual Statement by Author";"Rupture";NA
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"life on kolkhozes / kolkhoznoe krest'janstvo";"115389";"1955_3";"Tajikistan / TadzhSSR";"present";"Factual Statement by Author";"Rupture";NA
"tadzhiki";"profession / zanjatie";"115432";"1969_5";"Groups";"present";NA;NA;"proximity / similarity"
"jagnobcy / Yaghnobis";"profession / zanjatie";"115432";"1969_5";"groups in mountainous regions";"present";NA;NA;"proximity / similarity"
"varzobcy / varzobi";"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"115894";"1969_5";"naselenie bassejna r. Varzob";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki verkhov'ev Zeravshana";"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"115894";"1969_5";"groups in mountainous regions";NA;"Factual Statement by Author";NA;"proximity / similarity"
"verkhovja Jagnoba / Yaghnob";"language / spoken (incl. dialects)";"116085";"1989_5";"gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan";"present";"Factual Statement by Author";NA;NA
"varzobcy / varzobi";"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"116192";"1969_5";"naselenie bassejna r. Varzob";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki Gissara";"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"116192";"1969_5";"groups in mountainous regions";NA;"Factual Statement by Author";NA;"proximity / similarity"
"pamircy";"language / literaturnyj";"116426";"1989_5";"Pamiri groups";"present";"Factual Statement by Author";"Continuity";"assimilation"
"pamircy";"identity / self-description / samonazvanie / samosoznanie";"116426";"1989_5";"Pamiri groups";"present";"Factual Statement by Author";"Continuity";"assimilation"
"tadzhiki";"language / literaturnyj";"116426";"1989_5";"Groups";"present";"Factual Statement by Author";"Continuity";"assimilation"
"tadzhiki";"identity / self-description / samonazvanie / samosoznanie";"116426";"1989_5";"Groups";"present";"Factual Statement by Author";"Continuity";"assimilation"
"vandzhcy / vandzhi / vanchcy";"religion (Islam)";"116676";"1989_5";"Pamiri groups";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"assimilation"
"vandzhcy / vandzhi / vanchcy";"byt / bytovyj uklad / every-day life practices";"116676";"1989_5";"Pamiri groups";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"assimilation"
"tadzhiki";"religion (Islam)";"116676";"1989_5";"Groups";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"assimilation"
"tadzhiki";"byt / bytovyj uklad / every-day life practices";"116676";"1989_5";"Groups";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"assimilation"
"Kuljabskaja oblast' / Kuljab";"byt / bytovyj uklad / every-day life practices";"117825";"1955_3";"Southern Tajikistan";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";NA
"Kuljabskaja oblast' / Kuljab";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"117825";"1955_3";"Southern Tajikistan";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";NA
"Garm / Garmskaja oblast'";"byt / bytovyj uklad / every-day life practices";"117825";"1955_3";"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";NA
"Garm / Garmskaja oblast'";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"117825";"1955_3";"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";NA
"Tajikistan / TadzhSSR";"byt / bytovyj uklad / every-day life practices";"117825";"1955_3";"Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";NA
"Tajikistan / TadzhSSR";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"117825";"1955_3";"Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";NA
"tadzhiki";"child birth / obychai i obrjady svjazannye s rozhdeniem";"118451";"1963_5";"Groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki";"magicheskie obrjady / praktiki / magic rites / practices";"118451";"1963_5";"Groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"naselenie Karataga";"language / spoken (incl. dialects)";"120193";"1969_5";"Groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"naselenie doliny Khonakodar'i / gornoj Gissary";"language / spoken (incl. dialects)";"120193";"1969_5";"Groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"varzobcy / varzobi";"language / spoken (incl. dialects)";"120193";"1969_5";"naselenie bassejna r. Varzob";"present";"Factual Statement by Author";NA;"proximity / similarity"
"karategini Varzoba";"language / spoken (incl. dialects)";"120434";"1969_5";"naselenie bassejna r. Varzob";"present";NA;NA;"difference"
"varzobcy / varzobi";"language / spoken (incl. dialects)";"120434";"1969_5";"naselenie bassejna r. Varzob";"present";NA;NA;"difference"
"varzobcy / varzobi";"language / spoken (incl. dialects)";"120497";"1969_5";"naselenie bassejna r. Varzob";"present";"Factual Statement by Author";NA;"difference"
"kulobi Varzoba";"language / spoken (incl. dialects)";"120497";"1969_5";"naselenie bassejna r. Varzob";"present";"Factual Statement by Author";NA;"difference"
"varzobcy / varzobi";"language / spoken (incl. dialects)";"120508";"1969_5";"naselenie bassejna r. Varzob";"present";"Factual Statement by Author";NA;"difference"
"naselenie dolinnoj Gissary";"language / spoken (incl. dialects)";"120508";"1969_5";"Groups";"present";"Factual Statement by Author";NA;"difference"
"tadzhiki";"clothing";"120768";"1977_3";"Groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"proximity / similarity"
"Varzob";"language / terminology";"121804";"1969_5";"Southern Tajikistan";NA;"Factual Statement by Author";NA;"proximity / similarity"
"verkhovja Zeravshana / Verkhnij Zeravshan / gornyj Zeravshan";"language / terminology";"121804";"1969_5";"gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan";NA;"Factual Statement by Author";NA;"proximity / similarity"
"pripamirskie narodnosti / narody / pripamircy";"religion (Islam)";"123978";"1989_5";"Pamiri groups";"present";"Factual Statement by Author";"Continuity";"assimilation"
"pripamirskie narodnosti / narody / pripamircy";"khozjajstvo / economy";"123978";"1989_5";"Pamiri groups";"present";"Factual Statement by Author";"Continuity";"assimilation"
"pripamirskie narodnosti / narody / pripamircy";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"123978";"1989_5";"Pamiri groups";"present";"Factual Statement by Author";"Continuity";"assimilation"
"pripamirskie narodnosti / narody / pripamircy";"identity / self-description / samonazvanie / samosoznanie";"123978";"1989_5";"Pamiri groups";"present";"Factual Statement by Author";"Continuity";"assimilation"
"tadzhiki";"religion (Islam)";"123978";"1989_5";"Groups";"present";"Factual Statement by Author";"Continuity";"assimilation"
"tadzhiki";"khozjajstvo / economy";"123978";"1989_5";"Groups";"present";"Factual Statement by Author";"Continuity";"assimilation"
"tadzhiki";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"123978";"1989_5";"Groups";"present";"Factual Statement by Author";"Continuity";"assimilation"
"tadzhiki";"identity / self-description / samonazvanie / samosoznanie";"123978";"1989_5";"Groups";"present";"Factual Statement by Author";"Continuity";"assimilation"
"tadzhiki v Afganistane / Tajiks in Afghanistan";"language / spoken (incl. dialects)";"124148";"1955_2";"Tajiks outside the Tajik SSR";NA;"Factual Statement by Author";NA;"proximity / similarity"
"osedlye tadzhiki Fergany / sedentary Tajiks of Ferghana";"housing / architecture / zhilisshe";"124201";"1971_4";"groups in plainland regions";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki";"clothing";"125551";"1977_3";"Groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"pamircy";"language / spoken (incl. dialects)";"127864";"1989_5";"Pamiri groups";"present";"Factual Statement by Author";NA;"difference"
"pamircy";"byt / bytovyj uklad / every-day life practices";"127864";"1989_5";"Pamiri groups";"present";"Factual Statement by Author";NA;"difference"
"pamircy";"material'naja kul'tura / material culture";"127864";"1989_5";"Pamiri groups";"present";"Factual Statement by Author";NA;"difference"
"pamircy";"dukhovnaja kul'tura / spiritual culture";"127864";"1989_5";"Pamiri groups";"present";"Factual Statement by Author";NA;"difference"
"pamircy";"religion (Islam)";"127864";"1989_5";"Pamiri groups";"present";"Factual Statement by Author";NA;"difference"
"tadzhiki";"language / spoken (incl. dialects)";"127864";"1989_5";"Groups";"present";"Factual Statement by Author";NA;"difference"
"tadzhiki";"byt / bytovyj uklad / every-day life practices";"127864";"1989_5";"Groups";"present";"Factual Statement by Author";NA;"difference"
"tadzhiki";"material'naja kul'tura / material culture";"127864";"1989_5";"Groups";"present";"Factual Statement by Author";NA;"difference"
"tadzhiki";"dukhovnaja kul'tura / spiritual culture";"127864";"1989_5";"Groups";"present";"Factual Statement by Author";NA;"difference"
"tadzhiki";"religion (Islam)";"127864";"1989_5";"Groups";"present";"Factual Statement by Author";NA;"difference"
"tadzhiki";"obraz zhizni (kochevoj/osedly) / lifestyle (nomadic/sedentary)";"127931";"1961_2";"Groups";NA;NA;NA;NA
"tadzhiki";"zemledelie / sel'skoe khosjajstvo / agriculture";"127931";"1961_2";"Groups";NA;NA;NA;NA
"pamircy";"etnos / ethnos / etnicheskaja prinadlezhnost' / obsshnost'";"128153";"1989_5";"Pamiri groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"pamircy";"trade / economic production";"128153";"1989_5";"Pamiri groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"pamircy";"education";"128153";"1989_5";"Pamiri groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"pamircy";"literature / poslovica / pogovorki";"128153";"1989_5";"Pamiri groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"pamircy";"art / painting / zhivopis' / iskusstvo";"128153";"1989_5";"Pamiri groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"pamircy";"identity / self-description / samonazvanie / samosoznanie";"128153";"1989_5";"Pamiri groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"pamircy";"stage of development";"128153";"1989_5";"Pamiri groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
