"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"narrative"
"gorodskoe naselenie Tadzh. / urban population of Tajikistan";"Tajik women / tadzhichki";"107066";"1962_3";"Groups, tadzhiki";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"gorodskoe naselenie Tadzh. / urban population of Tajikistan";"osetiny / Ossetians";"107066";"1962_3";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"evrei / Jews";"russkij narod / Russians";"107066";"1962_3";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"latyshi / Latvians";"russkij narod / Russians";"107066";"1962_3";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"russkij narod / Russians";"Tajik women / tadzhichki";"107066";"1962_3";"Groups, tadzhiki";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"osetiny / Ossetians";"russkij narod / Russians";"107066";"1962_3";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"evrei / Jews";"latyshi / Latvians";"107066";"1962_3";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"evrei / Jews";"Tajik women / tadzhichki";"107066";"1962_3";"Groups, tadzhiki";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"evrei / Jews";"osetiny / Ossetians";"107066";"1962_3";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"latyshi / Latvians";"Tajik women / tadzhichki";"107066";"1962_3";"Groups, tadzhiki";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"latyshi / Latvians";"osetiny / Ossetians";"107066";"1962_3";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"osetiny / Ossetians";"Tajik women / tadzhichki";"107066";"1962_3";"Groups, tadzhiki";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"gornye tadzhiki";"ravninnye tadzhiki";"108190";"1977_5";"groups in mountainous regions, groups in plainland regions";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"gornye tadzhiki";"ravninnye tadzhiki";"108190";"1977_5";"groups in mountainous regions, groups in plainland regions";"past: early Soviet";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"kulobi Varzoba";"tadzhiki-vilojati / chagatai Varzoba / Varzob plainland Tajiks";"109024";"1969_5";"naselenie bassejna r. Varzob, groups in plainland regions";"past: early Soviet";NA;NA;"slijanie / sblizhenie / fusion / convergence"
"pripamirskie narodnosti / narody / pripamircy";"Soviet Union";"110541";"1965_6";"Pamiri groups, Locations";"present";"Factual Statement by Author";NA;"development of national in form, socialist in content culture"
"Soviet Union";"tadzhiki";"110610";"1955_3";"Locations, Groups";"present";"Factual Statement by Author";"Rupture";"Sovietization"
"Soviet Union";"tadzhiki";"110610";"1955_3";"Locations, Groups";"present";"Factual Statement by Author";"Rupture";"modernization / socialist progress"
"Soviet Union";"tadzhiki";"110610";"1955_3";"Locations, Groups";"present";"Factual Statement by Author";"Rupture";"development of national in form, socialist in content culture"
"russkij narod / Russians";"tadzhiki";"111364";"1955_3";"Groups, Groups";NA;"Factual Statement by Author";NA;"Sovietization"
"ravninnye tadzhiki";"uzbeki";"114745";"1976_2";"groups in plainland regions, Central Asian titular nations";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"ravninnye oblasti Tadzh. / plainland regions of Tajikistan";"115389";"1955_3";"Tajikistan / TadzhSSR, Tajikistan / TadzhSSR";"present";"Factual Statement by Author";"Rupture";"slijanie / sblizhenie / fusion / convergence"
"pamircy";"tadzhiki";"116426";"1989_5";"Pamiri groups, Groups";"present";"Factual Statement by Author";"Continuity";"estestvennaja assimilacija / natural assimilation"
"tadzhiki";"vandzhcy / vandzhi / vanchcy";"116676";"1989_5";"Groups, Pamiri groups";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"estestvennaja assimilacija / natural assimilation"
"karakalpaki";"tadzhiki";"118451";"1963_5";"Groups, Groups";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"karakalpaki";"kirgizy";"118451";"1963_5";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"karakalpaki";"kazakhi";"118451";"1963_5";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"karakalpaki";"uzbeki";"118451";"1963_5";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"karakalpaki";"turkmeny";"118451";"1963_5";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"tadzhiki";"uzbeki";"118451";"1963_5";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"tadzhiki";"turkmeny";"118451";"1963_5";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"kirgizy";"tadzhiki";"118451";"1963_5";"Central Asian titular nations, Groups";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"kazakhi";"kirgizy";"118451";"1963_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"kirgizy";"uzbeki";"118451";"1963_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"kirgizy";"turkmeny";"118451";"1963_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"kazakhi";"tadzhiki";"118451";"1963_5";"Central Asian titular nations, Groups";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"kazakhi";"uzbeki";"118451";"1963_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"kazakhi";"turkmeny";"118451";"1963_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"turkmeny";"uzbeki";"118451";"1963_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"123978";"1989_5";"Pamiri groups, Groups";"present";"Factual Statement by Author";"Continuity";"estestvennaja assimilacija / natural assimilation"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"123978";"1989_5";"Pamiri groups, Groups";"present";"Factual Statement by Author";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"narody Srednej Azii i Kazakhstana";"tadzhiki";"127931";"1961_2";"Groups, Groups";NA;NA;NA;"pre-Soviet modernization during Russian colonial rule"
"tadzhiki";"uzbeki Khorezma";"128546";"1982_5";"Groups, uzbeki";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"kirgizy";"tadzhiki";"128546";"1982_5";"Central Asian titular nations, Groups";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"kirgizy";"uzbeki Khorezma";"128546";"1982_5";"Central Asian titular nations, uzbeki";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"Central Asia / Srednjaja Azija";"Kazakhstan / Kazakhskaja SSR";"130993";"1971_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"Central Asia / Srednjaja Azija";"Kazakhstan / Kazakhskaja SSR";"130993";"1971_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"sredneaziatskie araby / Central Asian Arabs";"tadzhiki";"131393";"1971_4";"Groups, Groups";"present";"Factual Statement by Author";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"Golodnaja i Dal'verzinskaja step'";"tadzhiki Jagnoba / Tajiks of Yaghnob";"131404";"1990_2";"plainland regions Northern Tajikistan, groups in mountainous regions";NA;"Factual Statement by Author";NA;"control over nature / making land arable / osvoenie zemel'"
"Golodnaja i Dal'verzinskaja step'";"tadzhiki Jagnoba / Tajiks of Yaghnob";"131404";"1990_2";"plainland regions Northern Tajikistan, groups in mountainous regions";NA;"Factual Statement by Author";NA;"modernization / socialist progress"
"Golodnaja i Dal'verzinskaja step'";"tadzhiki-matchincy";"131404";"1990_2";"plainland regions Northern Tajikistan, groups in mountainous regions";NA;"Factual Statement by Author";NA;"control over nature / making land arable / osvoenie zemel'"
"Golodnaja i Dal'verzinskaja step'";"tadzhiki-matchincy";"131404";"1990_2";"plainland regions Northern Tajikistan, groups in mountainous regions";NA;"Factual Statement by Author";NA;"modernization / socialist progress"
"tadzhiki Jagnoba / Tajiks of Yaghnob";"tadzhiki-matchincy";"131404";"1990_2";"groups in mountainous regions, groups in mountainous regions";NA;"Factual Statement by Author";NA;"control over nature / making land arable / osvoenie zemel'"
"tadzhiki Jagnoba / Tajiks of Yaghnob";"tadzhiki-matchincy";"131404";"1990_2";"groups in mountainous regions, groups in mountainous regions";NA;"Factual Statement by Author";NA;"modernization / socialist progress"
"byvshie musul'manskie regiony SSSR";"tadzhiki-gorozhani";"132418";"1986_2";"Historical locations, gorodskoe naselenie Tadzh. / urban population of Tajikistan";"present";"Factual Statement by Author";NA;"failed raskreposshenie zhensshin / failed liberation of women"
"gal'cha";"gornye tadzhiki";"132451";"1990_2";"groups in mountainous regions, groups in mountainous regions";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"byvshie musul'manskie regiony SSSR";"tadzhiki-gorozhani";"132618";"1986_2";"Historical locations, gorodskoe naselenie Tadzh. / urban population of Tajikistan";"present";"Factual Statement by Author";NA;"lost battle against religion"
"naselenie Leninabadskoj oblasti";"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"132732";"1990_2";"Groups, Groups in Iran";NA;NA;NA;"estestvennaja assimilacija / natural assimilation"
"naselenie Leninabadskoj oblasti";"tjurkojazychnye narody";"132732";"1990_2";"Groups, tjurki";NA;NA;NA;"estestvennaja assimilacija / natural assimilation"
"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"tjurkojazychnye narody";"132732";"1990_2";"Groups in Iran, tjurki";NA;NA;NA;"estestvennaja assimilacija / natural assimilation"
"Garm / Garmskaja oblast'";"gornye rajony Kuljabskoj oblasti / mountainous regions Kuljab";"141340";"1972_1";"gornye oblasti Tadzh. / mountainous regions of Tajikistan, Kuljabskaja oblast' / Kuljab";"past: early Soviet";"Factual Statement by Author";NA;"modernization / socialist progress"
"bartangcy";"jazgulemcy";"141823";"1989_5";"Pamiri groups, Pamiri groups";NA;"Factual Statement by Author";NA;"criticism of the unjust treatment of national / ethnic groups"
"bartangcy";"roshorvcy";"141823";"1989_5";"Pamiri groups, Pamiri groups";NA;"Factual Statement by Author";NA;"criticism of the unjust treatment of national / ethnic groups"
"bartangcy";"jagnobcy / Yaghnobis";"141823";"1989_5";"Pamiri groups, groups in mountainous regions";NA;"Factual Statement by Author";NA;"criticism of the unjust treatment of national / ethnic groups"
"jazgulemcy";"roshorvcy";"141823";"1989_5";"Pamiri groups, Pamiri groups";NA;"Factual Statement by Author";NA;"criticism of the unjust treatment of national / ethnic groups"
"jagnobcy / Yaghnobis";"jazgulemcy";"141823";"1989_5";"groups in mountainous regions, Pamiri groups";NA;"Factual Statement by Author";NA;"criticism of the unjust treatment of national / ethnic groups"
"jagnobcy / Yaghnobis";"roshorvcy";"141823";"1989_5";"groups in mountainous regions, Pamiri groups";NA;"Factual Statement by Author";NA;"criticism of the unjust treatment of national / ethnic groups"
"pamircy";"tadzhiki";"15264";"1988_6";"Pamiri groups, Groups";"present";"Factual Statement by Author";NA;"forced assimilation / otadzhikovanie"
"Soviet Union";"Tajikistan / TadzhSSR";"168358";"1985_2";"Locations, Locations";"past: early Soviet";"Citation other sources of knowledge: f.e. statistics";"Continuity";"modernization / socialist progress"
"Soviet Union";"Tajikistan / TadzhSSR";"168358";"1985_2";"Locations, Locations";"past: early Soviet";"Citation other sources of knowledge: f.e. statistics";"Continuity";"vyravnivanie korenykh nacional'nostej sojuznykh respublik"
"Soviet Union";"Tajikistan / TadzhSSR";"168358";"1985_2";"Locations, Locations";"present";"Citation other sources of knowledge: f.e. statistics";"Continuity";"modernization / socialist progress"
"Soviet Union";"Tajikistan / TadzhSSR";"168358";"1985_2";"Locations, Locations";"present";"Citation other sources of knowledge: f.e. statistics";"Continuity";"vyravnivanie korenykh nacional'nostej sojuznykh respublik"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"verkhovya Matchi";"171363";"1982_5";"Tajikistan / TadzhSSR, gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan";"present";"Factual Statement by Author";"Rupture";"modernization / socialist progress"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"verkhovya Matchi";"171363";"1982_5";"Tajikistan / TadzhSSR, gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan";"present";"Factual Statement by Author";"Rupture";"Sovietization"
"Kyrgyz women / kirgizki";"pamirskie zhensshiny / Pamiri women";"171956";"1982_5";"kirgizy, Pamiri groups";"present";"Factual Statement by Author";NA;"Sovietization"
"Kyrgyz women / kirgizki";"pamirskie zhensshiny / Pamiri women";"171956";"1982_5";"kirgizy, Pamiri groups";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"Turkmen women / turkmenki";"Uzbek women / uzbechki";"175264";"1985_2";"turkmeny, uzbeki";"present";"Citation other sources of knowledge: f.e. statistics";NA;"modernization / socialist progress"
"Turkmen women / turkmenki";"Uzbek women / uzbechki";"175264";"1985_2";"turkmeny, uzbeki";"present";"Citation other sources of knowledge: f.e. statistics";NA;"raskreposshenie zhensshin / liberation of women"
"Tajik women / tadzhichki";"Turkmen women / turkmenki";"175264";"1985_2";"tadzhiki, turkmeny";"present";"Citation other sources of knowledge: f.e. statistics";NA;"modernization / socialist progress"
"Tajik women / tadzhichki";"Turkmen women / turkmenki";"175264";"1985_2";"tadzhiki, turkmeny";"present";"Citation other sources of knowledge: f.e. statistics";NA;"raskreposshenie zhensshin / liberation of women"
"Tajik women / tadzhichki";"Uzbek women / uzbechki";"175264";"1985_2";"tadzhiki, uzbeki";"present";"Citation other sources of knowledge: f.e. statistics";NA;"modernization / socialist progress"
"Tajik women / tadzhichki";"Uzbek women / uzbechki";"175264";"1985_2";"tadzhiki, uzbeki";"present";"Citation other sources of knowledge: f.e. statistics";NA;"raskreposshenie zhensshin / liberation of women"
"Russians in Central Asia";"Uzbek women / uzbechki";"175801";"1985_2";"russkij narod / Russians, uzbeki";"present";"Citation other sources of knowledge: f.e. statistics";NA;"vyravnivanie korenykh nacional'nostej sojuznykh respublik"
"Russians in Central Asia";"Turkmen women / turkmenki";"175801";"1985_2";"russkij narod / Russians, turkmeny";"present";"Citation other sources of knowledge: f.e. statistics";NA;"vyravnivanie korenykh nacional'nostej sojuznykh respublik"
"Russians in Central Asia";"Tajik women / tadzhichki";"175801";"1985_2";"russkij narod / Russians, tadzhiki";"present";"Citation other sources of knowledge: f.e. statistics";NA;"vyravnivanie korenykh nacional'nostej sojuznykh respublik"
"Turkmen women / turkmenki";"Uzbek women / uzbechki";"175801";"1985_2";"turkmeny, uzbeki";"present";"Citation other sources of knowledge: f.e. statistics";NA;"vyravnivanie korenykh nacional'nostej sojuznykh respublik"
"Tajik women / tadzhichki";"Uzbek women / uzbechki";"175801";"1985_2";"tadzhiki, uzbeki";"present";"Citation other sources of knowledge: f.e. statistics";NA;"vyravnivanie korenykh nacional'nostej sojuznykh respublik"
"Tajik women / tadzhichki";"Turkmen women / turkmenki";"175801";"1985_2";"tadzhiki, turkmeny";"present";"Citation other sources of knowledge: f.e. statistics";NA;"vyravnivanie korenykh nacional'nostej sojuznykh respublik"
"tadzhiki";"turkmeny";"176214";"1985_2";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"failed modernization"
"tadzhiki";"turkmeny";"176214";"1985_2";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"failed raskreposshenie zhensshin / failed liberation of women"
"tadzhiki";"uzbeki";"176214";"1985_2";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"failed modernization"
"tadzhiki";"uzbeki";"176214";"1985_2";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"failed raskreposshenie zhensshin / failed liberation of women"
"turkmeny";"uzbeki";"176214";"1985_2";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"failed modernization"
"turkmeny";"uzbeki";"176214";"1985_2";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"failed raskreposshenie zhensshin / failed liberation of women"
"ravninnye tadzhiki Fergany / plainlands Tajiks of Ferghana";"uzbeki";"178865";"1980_1";"ravninnye tadzhiki, Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"pre-Soviet sblizhenie during Russian colonial rule"
"kirgizy";"tadzhiki severo-zapadnykh otrogakh Turkestanskogo khrebta";"178979";"1980_1";"Central Asian titular nations, groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA;"pre-Soviet sblizhenie during Russian colonial rule"
"sel'skie zhiteli korennykh nacional'nostej Srednej Azii";"sel'skoe naselenie Tadzh. / rural population of Tajikistan";"18871";"1985_1";"Groups, Groups";"present";"Factual Statement by Author";NA;"failed modernization"
"sel'skie zhiteli korennykh nacional'nostej Srednej Azii";"sel'skoe naselenie Tadzh. / rural population of Tajikistan";"18871";"1985_1";"Groups, Groups";"present";"Factual Statement by Author";NA;"vyravnivanie korenykh nacional'nostej sojuznykh respublik"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"18876";"1964_4";"Pamiri groups, Groups";"present";"Factual Statement by Author";"Continuity";"dobrovol'naja assimilacija / voluntary assimilation"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"18876";"1964_4";"Pamiri groups, Groups";"present";"Factual Statement by Author";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"18876";"1964_4";"Pamiri groups, Groups";"present";"Factual Statement by Author";"Continuity";"Sovietization"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"18876";"1964_4";"Pamiri groups, Groups";"present";"Factual Statement by Author";"Continuity";"development of national in form, socialist in content culture"
"jagnobcy / Yaghnobis";"tadzhiki";"18876";"1964_4";"groups in mountainous regions, Groups";"present";"Factual Statement by Author";"Continuity";"dobrovol'naja assimilacija / voluntary assimilation"
"jagnobcy / Yaghnobis";"tadzhiki";"18876";"1964_4";"groups in mountainous regions, Groups";"present";"Factual Statement by Author";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"jagnobcy / Yaghnobis";"tadzhiki";"18876";"1964_4";"groups in mountainous regions, Groups";"present";"Factual Statement by Author";"Continuity";"Sovietization"
"jagnobcy / Yaghnobis";"tadzhiki";"18876";"1964_4";"groups in mountainous regions, Groups";"present";"Factual Statement by Author";"Continuity";"development of national in form, socialist in content culture"
"jagnobcy / Yaghnobis";"pripamirskie narodnosti / narody / pripamircy";"18876";"1964_4";"groups in mountainous regions, Pamiri groups";"present";"Factual Statement by Author";"Continuity";"dobrovol'naja assimilacija / voluntary assimilation"
"jagnobcy / Yaghnobis";"pripamirskie narodnosti / narody / pripamircy";"18876";"1964_4";"groups in mountainous regions, Pamiri groups";"present";"Factual Statement by Author";"Continuity";"slijanie / sblizhenie / fusion / convergence"
"jagnobcy / Yaghnobis";"pripamirskie narodnosti / narody / pripamircy";"18876";"1964_4";"groups in mountainous regions, Pamiri groups";"present";"Factual Statement by Author";"Continuity";"Sovietization"
"jagnobcy / Yaghnobis";"pripamirskie narodnosti / narody / pripamircy";"18876";"1964_4";"groups in mountainous regions, Pamiri groups";"present";"Factual Statement by Author";"Continuity";"development of national in form, socialist in content culture"
"malochislennye etnograficheskie gruppy";"tadzhiki";"193227";"1966_4";"Groups, Groups";"present";"Literature Review";NA;"development of national in form, socialist in content culture"
"malochislennye etnograficheskie gruppy";"tadzhiki";"193227";"1966_4";"Groups, Groups";"present";"Literature Review";NA;"slijanie / sblizhenie / fusion / convergence"
"russkij narod / Russians";"Tajik women / tadzhichki";"20325";"1962_6";"Groups, tadzhiki";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA;"raskreposshenie zhensshin / liberation of women"
"russkij narod / Russians";"Tajik women / tadzhichki";"20325";"1962_6";"Groups, tadzhiki";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA;"battle against religion"
"russkij narod / Russians";"Tajik women / tadzhichki";"20325";"1962_6";"Groups, tadzhiki";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA;"modernization / socialist progress"
"russkij narod / Russians";"Tajik women / tadzhichki";"20325";"1962_6";"Groups, tadzhiki";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA;"Sovietization"
"russkij narod / Russians";"Tajik women / tadzhichki";"20325";"1962_6";"Groups, tadzhiki";"past: early Soviet";"Factual Statement by Author";NA;"raskreposshenie zhensshin / liberation of women"
"russkij narod / Russians";"Tajik women / tadzhichki";"20325";"1962_6";"Groups, tadzhiki";"past: early Soviet";"Factual Statement by Author";NA;"battle against religion"
"russkij narod / Russians";"Tajik women / tadzhichki";"20325";"1962_6";"Groups, tadzhiki";"past: early Soviet";"Factual Statement by Author";NA;"modernization / socialist progress"
"russkij narod / Russians";"Tajik women / tadzhichki";"20325";"1962_6";"Groups, tadzhiki";"past: early Soviet";"Factual Statement by Author";NA;"Sovietization"
"Leninabadskij rajon / oblast' / kraj";"tadzhikskij khlopkovodcheskij kolkhoz v Chkalovske";"207461";"1955_4";"Northern Tajikistan, Leninabadskij rajon / oblast' / kraj";"present";NA;NA;"control over nature / making land arable / osvoenie zemel'"
"Russia / RSFSR";"Tajikistan / TadzhSSR";"20901";"1972_4";"Locations, Locations";"past: early Soviet";"Factual Statement by Author";NA;"modernization / socialist progress"
"Russia / RSFSR";"Tajikistan / TadzhSSR";"20901";"1972_4";"Locations, Locations";"past: early Soviet";"Factual Statement by Author";NA;"socialist internationalism / druzhba narodov"
"kirgizy vostochnogo Pamira";"tadzhiki";"230822";"1959_4";"kirgizy, Groups";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"kirgizy vostochnogo Pamira";"tadzhiki";"230822";"1959_4";"kirgizy, Groups";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"kirgizy vostochnogo Pamira";"tadzhiki";"230822";"1959_4";"kirgizy, Groups";"present";"Factual Statement by Author";NA;"development of national in form, socialist in content culture"
"gornye tadzhiki";"uzbeki";"236833";"1989_4";"groups in mountainous regions, Central Asian titular nations";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"gornye tadzhiki";"uzbeki";"236833";"1989_4";"groups in mountainous regions, Central Asian titular nations";"present";"Factual Statement by Author";NA;"development of national in form, socialist in content culture"
"gornye tadzhiki";"uzbeki";"236833";"1989_4";"groups in mountainous regions, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
