"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"relation"
"Central Asia / Srednjaja Azija";"family structure / semejnye otnoshenija";"102750";"1955_3";"Locations";"present";"Correction of cited research or literature";NA;"proximity / similarity"
"Ferghana / Ferganskaja dolina";"family structure / semejnye otnoshenija";"102750";"1955_3";"Northern Tajikistan";"past: early Soviet";"Correction of cited research or literature";NA;"proximity / similarity"
"Ferghana / Ferganskaja dolina";"family structure / semejnye otnoshenija";"102750";"1955_3";"Northern Tajikistan";"present";"Correction of cited research or literature";NA;"proximity / similarity"
"jazgulemcy";"external identification / designation";"102924";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA;"difference"
"tadzhiki";"external identification / designation";"102924";"1965_6";"Groups";"present";"Factual Statement by Author";NA;"difference"
"pripamirskie narodnosti / narody / pripamircy";"external identification / designation";"102956";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA;"difference"
"tadzhiki";"external identification / designation";"102956";"1965_6";"Groups";"present";"Factual Statement by Author";NA;"difference"
"tadzhiki";"language / spoken (incl. dialects)";"103286";"1965_6";"Groups";"past: early Soviet";"Factual Statement by Author";"Continuity";NA
"tadzhiki";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"103286";"1965_6";"Groups";"past: early Soviet";"Factual Statement by Author";"Continuity";NA
"narodnosti Zapadnogo Pamira";"language / spoken (incl. dialects)";"103286";"1965_6";"Pamiri groups";"past: early Soviet";"Factual Statement by Author";"Continuity";NA
"narodnosti Zapadnogo Pamira";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"103286";"1965_6";"Pamiri groups";"past: early Soviet";"Factual Statement by Author";"Continuity";NA
"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"trade / economic production";"103732";"1965_6";"Pamir";"past: early Soviet";NA;NA;NA
"Tajikistan / TadzhSSR";"trade / economic production";"103732";"1965_6";"Locations";"past: early Soviet";NA;NA;NA
"Soviet Union";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"104126";"1965_6";"Locations";"past: early Soviet";NA;NA;NA
"Soviet Union";"infrastructure";"104126";"1965_6";"Locations";"past: early Soviet";NA;NA;NA
"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"104126";"1965_6";"Pamir";"past: early Soviet";NA;NA;NA
"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"infrastructure";"104126";"1965_6";"Pamir";"past: early Soviet";NA;NA;NA
"tadzhiki";"etnos / ethnos / etnicheskaja prinadlezhnost' / obsshnost'";"104947";"1989_5";"Groups";NA;"Correction of cited research or literature";NA;"difference"
"pripamirskie narodnosti / narody / pripamircy";"etnos / ethnos / etnicheskaja prinadlezhnost' / obsshnost'";"104947";"1989_5";"Pamiri groups";NA;"Correction of cited research or literature";NA;"difference"
"tadzhiki";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"104979";"1965_6";"Groups";"present";"Factual Statement by Author";NA;NA
"tadzhiki";"byt / bytovyj uklad / every-day life practices";"104979";"1965_6";"Groups";"present";"Factual Statement by Author";NA;NA
"gorodskoe naselenie Khoroga";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"104979";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA;NA
"gorodskoe naselenie Khoroga";"byt / bytovyj uklad / every-day life practices";"104979";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA;NA
"Tajikistan / TadzhSSR";"life on kolkhozes / kolkhoznoe krest'janstvo";"105412";"1955_3";"Locations";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;NA
"Tajikistan / TadzhSSR";"dukhovnaja kul'tura / spiritual culture";"105412";"1955_3";"Locations";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;NA
"Tajikistan / TadzhSSR";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"105412";"1955_3";"Locations";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;NA
"pripamirskie narodnosti / narody / pripamircy";"interior design / ubranstvo";"105431";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA;NA
"pripamirskie narodnosti / narody / pripamircy";"housing / architecture / zhilisshe";"105431";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA;NA
"latyshi / Latvians";"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"107066";"1962_3";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"contact / connection (interpersonal, interethnic,...)"
"evrei / Jews";"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"107066";"1962_3";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"contact / connection (interpersonal, interethnic,...)"
"russkij narod / Russians";"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"107066";"1962_3";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"contact / connection (interpersonal, interethnic,...)"
"gorodskoe naselenie Tadzh. / urban population of Tajikistan";"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"107066";"1962_3";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"contact / connection (interpersonal, interethnic,...)"
"osetiny / Ossetians";"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"107066";"1962_3";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"contact / connection (interpersonal, interethnic,...)"
"Tajik women / tadzhichki";"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"107066";"1962_3";"tadzhiki";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"contact / connection (interpersonal, interethnic,...)"
"pripamirskie tadzhiki";"clothing";"107584";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";"Continuity";NA
"kulobi Varzoba";"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"109024";"1969_5";"naselenie bassejna r. Varzob";"past: early Soviet";NA;NA;"contact / connection (interpersonal, interethnic,...)"
"tadzhiki-vilojati / chagatai Varzoba / Varzob plainland Tajiks";"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"109024";"1969_5";"groups in plainland regions";"past: early Soviet";NA;NA;"contact / connection (interpersonal, interethnic,...)"
"narody Srednej Azii i Kazakhstana";"mode of production / khozjajsvennyj uklad / economic system";"109867";"1971_4";"Groups";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;NA
"narody Srednej Azii i Kazakhstana";"byt / bytovyj uklad / every-day life practices";"109867";"1971_4";"Groups";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;NA
"pripamirskie narodnosti / narody / pripamircy";"zemledelie / sel'skoe khosjajstvo / agriculture";"110541";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"pripamirskie narodnosti / narody / pripamircy";"material'naja kul'tura / material culture";"110541";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"Soviet Union";"zemledelie / sel'skoe khosjajstvo / agriculture";"110541";"1965_6";"Locations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"Soviet Union";"material'naja kul'tura / material culture";"110541";"1965_6";"Locations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"Soviet Union";"clothing";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture";"proximity / similarity"
"Soviet Union";"housing / architecture / zhilisshe";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture";"proximity / similarity"
"Soviet Union";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture";"proximity / similarity"
"Soviet Union";"art / painting / zhivopis' / iskusstvo";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture";"proximity / similarity"
"Soviet Union";"music";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture";"proximity / similarity"
"tadzhiki";"clothing";"110610";"1955_3";"Groups";"present";"Factual Statement by Author";"Rupture";"proximity / similarity"
"tadzhiki";"housing / architecture / zhilisshe";"110610";"1955_3";"Groups";"present";"Factual Statement by Author";"Rupture";"proximity / similarity"
"tadzhiki";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"110610";"1955_3";"Groups";"present";"Factual Statement by Author";"Rupture";"proximity / similarity"
"tadzhiki";"art / painting / zhivopis' / iskusstvo";"110610";"1955_3";"Groups";"present";"Factual Statement by Author";"Rupture";"proximity / similarity"
"tadzhiki";"music";"110610";"1955_3";"Groups";"present";"Factual Statement by Author";"Rupture";"proximity / similarity"
"pripamirskie narodnosti / narody / pripamircy";"family structure / semejnye otnoshenija";"110860";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA;"difference"
"Soviet Union";"family structure / semejnye otnoshenija";"110860";"1965_6";"Locations";"present";"Factual Statement by Author";NA;"difference"
"Turkestan / Turkestanskij kraj / general-gubernatorstvo";"mode of production / khozjajsvennyj uklad / economic system";"110998";"1971_4";"Historical locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;NA
"pripamirskie narodnosti / narody / pripamircy";"family structure / semejnye otnoshenija";"111043";"1965_6";"Pamiri groups";NA;"Factual Statement by Author";NA;NA
"tadzhiki";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"111364";"1955_3";"Groups";NA;"Factual Statement by Author";NA;"influence"
"russkij narod / Russians";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"111364";"1955_3";"Groups";NA;"Factual Statement by Author";NA;"influence"
"Central Asia / Srednjaja Azija";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"111704";"1971_4";"Locations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;NA
"Central Asia / Srednjaja Azija";"mode of production / khozjajsvennyj uklad / economic system";"111704";"1971_4";"Locations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;NA
"Central Asia / Srednjaja Azija";"byt / bytovyj uklad / every-day life practices";"111704";"1971_4";"Locations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;NA
"pripamirskie narodnosti / narody / pripamircy";"identity / self-description / samonazvanie / samosoznanie";"112351";"1965_6";"Pamiri groups";"present";"Citation other sources of knowledge: f.e. statistics";NA;"proximity / similarity"
"tadzhiki";"identity / self-description / samonazvanie / samosoznanie";"112351";"1965_6";"Groups";"present";"Citation other sources of knowledge: f.e. statistics";NA;"proximity / similarity"
"tadzhiki v SSSR";"proizvodstvennye otnoshenija / relations of production";"112630";"1989_4";"Tajiks outside the Tajik SSR";"present";"Factual Statement by Author";NA;"difference"
"tadzhiki v Afganistane / Tajiks in Afghanistan";"proizvodstvennye otnoshenija / relations of production";"112630";"1989_4";"Tajiks outside the Tajik SSR";"present";"Factual Statement by Author";NA;"difference"
"zgamik";"language / spoken (incl. dialects)";"112786";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"jazgulemcy";"language / spoken (incl. dialects)";"112786";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"rukhni";"language / spoken (incl. dialects)";"112786";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"shugnancy";"language / spoken (incl. dialects)";"112786";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"bartangcy";"language / spoken (incl. dialects)";"112786";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"bartangidzh";"language / spoken (incl. dialects)";"112786";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"khugni";"language / spoken (incl. dialects)";"112786";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"vakhancy";"language / spoken (incl. dialects)";"112786";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"rushancy";"language / spoken (incl. dialects)";"112786";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"khik/vakhi";"language / spoken (incl. dialects)";"112786";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"tadzhiki";"language / spoken (incl. dialects)";"112786";"1989_5";"Groups";NA;"Factual Statement by Author";NA;"difference"
"ishkashimcy";"language / spoken (incl. dialects)";"112786";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"ishkoshumi";"language / spoken (incl. dialects)";"112786";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"zgamik";"language / literaturnyj";"112879";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"khugni";"language / literaturnyj";"112879";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"Afghanistan";"language / literaturnyj";"112879";"1989_5";"Locations";NA;"Factual Statement by Author";NA;"proximity / similarity"
"jazgulemcy";"language / literaturnyj";"112879";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"ishkashimcy";"language / literaturnyj";"112879";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"bartangidzh";"language / literaturnyj";"112879";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"rushancy";"language / literaturnyj";"112879";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"shugnancy";"language / literaturnyj";"112879";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"rukhni";"language / literaturnyj";"112879";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"bartangcy";"language / literaturnyj";"112879";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"ishkoshumi";"language / literaturnyj";"112879";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"vakhancy";"language / literaturnyj";"112879";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"khik/vakhi";"language / literaturnyj";"112879";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki";"language / literaturnyj";"112879";"1989_5";"Groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"durmeny Tadzhikistana";"sadovodstvo / horticulture";"113224";"1963_1";"uzbeki";NA;"Factual Statement by Author";NA;"influence"
"durmeny Tadzhikistana";"sadovodstvo / horticulture";"113224";"1963_1";"uzbeki";NA;"Factual Statement by Author";NA;"knowledge exchange"
"osedlye tadzhiki";"sadovodstvo / horticulture";"113224";"1963_1";"tadzhiki";NA;"Factual Statement by Author";NA;"influence"
"osedlye tadzhiki";"sadovodstvo / horticulture";"113224";"1963_1";"tadzhiki";NA;"Factual Statement by Author";NA;"knowledge exchange"
"drevnjaja India";"obychai / customs";"113670";"1989_5";"Historical locations";NA;"Factual Statement by Author";NA;"proximity / similarity"
"drevnjaja India";"verovanija / mify / beliefs / myths";"113670";"1989_5";"Historical locations";NA;"Factual Statement by Author";NA;"proximity / similarity"
"pamircy";"obychai / customs";"113670";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"pamircy";"verovanija / mify / beliefs / myths";"113670";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"pripamirskie tadzhiki";"identity / self-description / samonazvanie / samosoznanie";"113692";"1965_6";"Pamiri groups";"present";"Citation informant, local population, interviewee";NA;"proximity / similarity"
"tadzhiki";"identity / self-description / samonazvanie / samosoznanie";"113692";"1965_6";"Groups";"present";"Citation informant, local population, interviewee";NA;"proximity / similarity"
"pamircy";"predki / ancestors / osnova";"113761";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki";"predki / ancestors / osnova";"113761";"1989_5";"Groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tjurki";"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"113891";"1989_5";"Groups";NA;NA;NA;"difference"
"pamircy";"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"113891";"1989_5";"Pamiri groups";NA;NA;NA;"difference"
"uzbeki";"mode of production / khozjajsvennyj uklad / economic system";"114181";"1970_1";"Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"ravninnye tadzhiki";"mode of production / khozjajsvennyj uklad / economic system";"114181";"1970_1";"groups in plainland regions";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"polukochevye narody / narodnosti";"mode of production / khozjajsvennyj uklad / economic system";"114366";"1970_1";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"karakalpaki";"mode of production / khozjajsvennyj uklad / economic system";"114366";"1970_1";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"mode of production / khozjajsvennyj uklad / economic system";"114366";"1970_1";"Tajikistan / TadzhSSR";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"kirgizy";"mode of production / khozjajsvennyj uklad / economic system";"114366";"1970_1";"Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"turkmeny";"mode of production / khozjajsvennyj uklad / economic system";"114366";"1970_1";"Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"kazakhi";"mode of production / khozjajsvennyj uklad / economic system";"114366";"1970_1";"Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"kochevye narody";"mode of production / khozjajsvennyj uklad / economic system";"114366";"1970_1";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"polukochevye uzbeki";"mode of production / khozjajsvennyj uklad / economic system";"114366";"1970_1";"uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"gornye tadzhiki";"mode of production / khozjajsvennyj uklad / economic system";"114366";"1970_1";"groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"ravninnye tadzhiki";"mozaichnost' / ethnic heterogeneity";"114745";"1976_2";"groups in plainland regions";"present";"Factual Statement by Author";NA;"contact / connection (interpersonal, interethnic,...)"
"uzbeki";"mozaichnost' / ethnic heterogeneity";"114745";"1976_2";"Central Asian titular nations";"present";"Factual Statement by Author";NA;"contact / connection (interpersonal, interethnic,...)"
"tadzhiki Darvaza";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"114772";"1989_5";"groups in mountainous regions";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki v Afganistane / Tajiks in Afghanistan";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"114772";"1989_5";"Tajiks outside the Tajik SSR";NA;"Factual Statement by Author";NA;"proximity / similarity"
"narodnosti Zapadnogo Pamira";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"114772";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki Gissara";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"114772";"1989_5";"groups in mountainous regions";NA;"Factual Statement by Author";NA;"proximity / similarity"
"narody Gindukusha";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"114772";"1989_5";"Groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki Karategina";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"114772";"1989_5";"groups in mountainous regions";NA;"Factual Statement by Author";NA;"proximity / similarity"
"ravninnye oblasti Tadzh. / plainland regions of Tajikistan";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"115389";"1955_3";"Tajikistan / TadzhSSR";"present";"Factual Statement by Author";"Rupture";NA
"ravninnye oblasti Tadzh. / plainland regions of Tajikistan";"life on kolkhozes / kolkhoznoe krest'janstvo";"115389";"1955_3";"Tajikistan / TadzhSSR";"present";"Factual Statement by Author";"Rupture";NA
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"115389";"1955_3";"Tajikistan / TadzhSSR";"present";"Factual Statement by Author";"Rupture";NA
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"life on kolkhozes / kolkhoznoe krest'janstvo";"115389";"1955_3";"Tajikistan / TadzhSSR";"present";"Factual Statement by Author";"Rupture";NA
"tadzhiki";"profession / zanjatie";"115432";"1969_5";"Groups";"present";NA;NA;"proximity / similarity"
"jagnobcy / Yaghnobis";"profession / zanjatie";"115432";"1969_5";"groups in mountainous regions";"present";NA;NA;"proximity / similarity"
"varzobcy / varzobi";"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"115894";"1969_5";"naselenie bassejna r. Varzob";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki verkhov'ev Zeravshana";"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"115894";"1969_5";"groups in mountainous regions";NA;"Factual Statement by Author";NA;"proximity / similarity"
"verkhovja Jagnoba / Yaghnob";"language / spoken (incl. dialects)";"116085";"1989_5";"gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan";"present";"Factual Statement by Author";NA;NA
"varzobcy / varzobi";"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"116192";"1969_5";"naselenie bassejna r. Varzob";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki Gissara";"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"116192";"1969_5";"groups in mountainous regions";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki";"language / literaturnyj";"116426";"1989_5";"Groups";"present";"Factual Statement by Author";"Continuity";"assimilation"
"tadzhiki";"identity / self-description / samonazvanie / samosoznanie";"116426";"1989_5";"Groups";"present";"Factual Statement by Author";"Continuity";"assimilation"
"pamircy";"language / literaturnyj";"116426";"1989_5";"Pamiri groups";"present";"Factual Statement by Author";"Continuity";"assimilation"
"pamircy";"identity / self-description / samonazvanie / samosoznanie";"116426";"1989_5";"Pamiri groups";"present";"Factual Statement by Author";"Continuity";"assimilation"
"vandzhcy / vandzhi / vanchcy";"byt / bytovyj uklad / every-day life practices";"116676";"1989_5";"Pamiri groups";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"assimilation"
"vandzhcy / vandzhi / vanchcy";"religion (Islam)";"116676";"1989_5";"Pamiri groups";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"assimilation"
"tadzhiki";"byt / bytovyj uklad / every-day life practices";"116676";"1989_5";"Groups";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"assimilation"
"tadzhiki";"religion (Islam)";"116676";"1989_5";"Groups";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"assimilation"
"Tajikistan / TadzhSSR";"byt / bytovyj uklad / every-day life practices";"117825";"1955_3";"Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";NA
"Tajikistan / TadzhSSR";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"117825";"1955_3";"Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";NA
"Garm / Garmskaja oblast'";"byt / bytovyj uklad / every-day life practices";"117825";"1955_3";"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";NA
"Garm / Garmskaja oblast'";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"117825";"1955_3";"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";NA
"Kuljabskaja oblast' / Kuljab";"byt / bytovyj uklad / every-day life practices";"117825";"1955_3";"Southern Tajikistan";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";NA
