"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"narrative"
"kazakhi";"turkmeny";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"Sovietization"
"kazakhi";"turkmeny";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"development of national in form, socialist in content culture"
"kirgizy";"turkmeny";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"Sovietization"
"kirgizy";"turkmeny";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"development of national in form, socialist in content culture"
"kazakhi";"kirgizy";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"Sovietization"
"kazakhi";"kirgizy";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"development of national in form, socialist in content culture"
"Armenija";"Kirgizija / Kirgizskaja SSR";"353238";"1986_3";"Locations, Locations";"present";"Factual Statement by Author";NA;"failed modernization"
"Armenija";"Kirgizija / Kirgizskaja SSR";"353238";"1986_3";"Locations, Locations";"present";"Factual Statement by Author";NA;"vyravnivanie korenykh nacional'nostej sojuznykh respublik"
"rabochie-""cygane"" / pejorative exonym for Romani working class";"uzbeki";"356605";"1962_2";"""cygane"" / pejorative exonym for the Romani people, Central Asian titular nations";"future";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"kazakhi";"uzbeki";"357259";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"battle against perezhitki / survivals"
"kirgizy";"uzbeki";"357259";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"battle against perezhitki / survivals"
"kazakhi";"kirgizy";"357259";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"battle against perezhitki / survivals"
"kirgizy";"uzbeki";"358678";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"battle against perezhitki / survivals"
"turkmeny";"uzbeki";"358678";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"battle against perezhitki / survivals"
"kirgizy";"turkmeny";"358678";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"battle against perezhitki / survivals"
"Russians in Central Asia";"uzbeki";"358956";"1962_2";"russkij narod / Russians, Central Asian titular nations";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"Russians in Central Asia";"tatary";"358956";"1962_2";"russkij narod / Russians, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"tatary";"uzbeki";"358956";"1962_2";"Groups, Central Asian titular nations";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"azerbajdzhancy";"tatary";"358956";"1962_2";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"korejcy Srednej Azii";"tatary";"358956";"1962_2";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"azerbajdzhancy";"uzbeki";"358956";"1962_2";"Groups, Central Asian titular nations";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"azerbajdzhancy";"Russians in Central Asia";"358956";"1962_2";"Groups, russkij narod / Russians";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"azerbajdzhancy";"korejcy Srednej Azii";"358956";"1962_2";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"korejcy Srednej Azii";"uzbeki";"358956";"1962_2";"Groups, Central Asian titular nations";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"korejcy Srednej Azii";"Russians in Central Asia";"358956";"1962_2";"Groups, russkij narod / Russians";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"kazakhi";"kirgizy";"359803";"1967_5";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"battle against perezhitki / survivals"
"Kazakhstan / Kazakhskaja SSR";"Uzbekistan / Uzbekskaja SSR";"364182";"1984_3";"Locations, Locations";"present";"Factual Statement by Author";NA;"failed modernization"
"Kirgizija / Kirgizskaja SSR";"Uzbekistan / Uzbekskaja SSR";"364182";"1984_3";"Locations, Locations";"present";"Factual Statement by Author";NA;"failed modernization"
"Kazakhstan / Kazakhskaja SSR";"Kirgizija / Kirgizskaja SSR";"364182";"1984_3";"Locations, Locations";"present";"Factual Statement by Author";NA;"failed modernization"
"kirgizy";"turkmeny";"37827";"1977_6";"Central Asian titular nations, Central Asian titular nations";"present";NA;NA;"modernization / socialist progress"
"kirgizy";"turkmeny";"37827";"1977_6";"Central Asian titular nations, Central Asian titular nations";"present";NA;NA;"socialist internationalism / druzhba narodov"
"kazakhi";"kirgizy";"37827";"1977_6";"Central Asian titular nations, Central Asian titular nations";"present";NA;NA;"modernization / socialist progress"
"kazakhi";"kirgizy";"37827";"1977_6";"Central Asian titular nations, Central Asian titular nations";"present";NA;NA;"socialist internationalism / druzhba narodov"
"kirgizy";"Lithuania";"37827";"1977_6";"Central Asian titular nations, Locations";"present";NA;NA;"modernization / socialist progress"
"kirgizy";"Lithuania";"37827";"1977_6";"Central Asian titular nations, Locations";"present";NA;NA;"socialist internationalism / druzhba narodov"
"kazakhi";"turkmeny";"37827";"1977_6";"Central Asian titular nations, Central Asian titular nations";"present";NA;NA;"modernization / socialist progress"
"kazakhi";"turkmeny";"37827";"1977_6";"Central Asian titular nations, Central Asian titular nations";"present";NA;NA;"socialist internationalism / druzhba narodov"
"kazakhi";"Lithuania";"37827";"1977_6";"Central Asian titular nations, Locations";"present";NA;NA;"modernization / socialist progress"
"kazakhi";"Lithuania";"37827";"1977_6";"Central Asian titular nations, Locations";"present";NA;NA;"socialist internationalism / druzhba narodov"
"Lithuania";"turkmeny";"37827";"1977_6";"Locations, Central Asian titular nations";"present";NA;NA;"modernization / socialist progress"
"Lithuania";"turkmeny";"37827";"1977_6";"Locations, Central Asian titular nations";"present";NA;NA;"socialist internationalism / druzhba narodov"
"Turkmenistan / Turkmenija / Turkmenskaja SSR";"Uzbekistan / Uzbekskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"socialist internationalism / druzhba narodov"
"Turkmenistan / Turkmenija / Turkmenskaja SSR";"Uzbekistan / Uzbekskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"Kirgizija / Kirgizskaja SSR";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"socialist internationalism / druzhba narodov"
"Kirgizija / Kirgizskaja SSR";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"gosudarstva Vostoka";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"socialist internationalism / druzhba narodov"
"gosudarstva Vostoka";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"Kirgizija / Kirgizskaja SSR";"Uzbekistan / Uzbekskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"socialist internationalism / druzhba narodov"
"Kirgizija / Kirgizskaja SSR";"Uzbekistan / Uzbekskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"gosudarstva Vostoka";"Uzbekistan / Uzbekskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"socialist internationalism / druzhba narodov"
"gosudarstva Vostoka";"Uzbekistan / Uzbekskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"gosudarstva Vostoka";"Kirgizija / Kirgizskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"socialist internationalism / druzhba narodov"
"gosudarstva Vostoka";"Kirgizija / Kirgizskaja SSR";"38577";"1972_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"modernization / socialist progress"
"karakalpaki";"turkmeny";"43187";"1962_6";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"raskreposshenie zhensshin / liberation of women"
"karakalpaki";"turkmeny";"43187";"1962_6";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"""cygane"" / pejorative exonym for the Romani people";"sredneaziatskie araby / Central Asian Arabs";"47405";"1960_2";"Groups, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"""cygane"" / pejorative exonym for the Romani people";"sredneaziatskie araby / Central Asian Arabs";"47405";"1960_2";"Groups, Groups";"present";"Factual Statement by Author";NA;"criticism of the unjust treatment of national / ethnic groups"
"""cygane"" / pejorative exonym for the Romani people";"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"47405";"1960_2";"Groups, Groups in Iran";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"""cygane"" / pejorative exonym for the Romani people";"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"47405";"1960_2";"Groups, Groups in Iran";"present";"Factual Statement by Author";NA;"criticism of the unjust treatment of national / ethnic groups"
"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"sredneaziatskie araby / Central Asian Arabs";"47405";"1960_2";"Groups in Iran, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"sredneaziatskie araby / Central Asian Arabs";"47405";"1960_2";"Groups in Iran, Groups";"present";"Factual Statement by Author";NA;"criticism of the unjust treatment of national / ethnic groups"
"araby v Uzbekistane";"uzbeki";"542763";"1989_4";"sredneaziatskie araby / Central Asian Arabs, Central Asian titular nations";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"forced assimilation / uzbekizacija"
"""cygane"" / pejorative exonym for the Romani people";"sredneaziatskie araby / Central Asian Arabs";"57394";"1964-6";"Groups, Groups";NA;"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"sredneaziatskie araby / Central Asian Arabs";"ujgury";"57394";"1964-6";"Groups, Groups";NA;"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"""cygane"" / pejorative exonym for the Romani people";"ujgury";"57394";"1964-6";"Groups, Groups";NA;"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"Armenija";"Uzbekistan / Uzbekskaja SSR";"60571";"1956_3";"Locations, Locations";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"raskreposshenie zhensshin / liberation of women"
"Kazakh women / kazashki";"Kyrgyz women / kirgizki";"64207";"1979_3";"kazakhi, kirgizy";NA;"Factual Statement by Author";"Rupture";"modernization / socialist progress"
"Kazakh women / kazashki";"Kyrgyz women / kirgizki";"64207";"1979_3";"kazakhi, kirgizy";NA;"Factual Statement by Author";"Rupture";"slijanie / sblizhenie / fusion / convergence"
"Kazakh women / kazashki";"Kyrgyz women / kirgizki";"64207";"1979_3";"kazakhi, kirgizy";NA;"Factual Statement by Author";"Rupture";"development of national in form, socialist in content culture"
"Kazakh women / kazashki";"zhitel'nicy jugo-zapadnykh rajonov Uzbekistana";"64207";"1979_3";"kazakhi, uzbeki";NA;"Factual Statement by Author";"Rupture";"modernization / socialist progress"
"Kazakh women / kazashki";"zhitel'nicy jugo-zapadnykh rajonov Uzbekistana";"64207";"1979_3";"kazakhi, uzbeki";NA;"Factual Statement by Author";"Rupture";"slijanie / sblizhenie / fusion / convergence"
"Kazakh women / kazashki";"zhitel'nicy jugo-zapadnykh rajonov Uzbekistana";"64207";"1979_3";"kazakhi, uzbeki";NA;"Factual Statement by Author";"Rupture";"development of national in form, socialist in content culture"
"Kyrgyz women / kirgizki";"zhitel'nicy jugo-zapadnykh rajonov Uzbekistana";"64207";"1979_3";"kirgizy, uzbeki";NA;"Factual Statement by Author";"Rupture";"modernization / socialist progress"
"Kyrgyz women / kirgizki";"zhitel'nicy jugo-zapadnykh rajonov Uzbekistana";"64207";"1979_3";"kirgizy, uzbeki";NA;"Factual Statement by Author";"Rupture";"slijanie / sblizhenie / fusion / convergence"
"Kyrgyz women / kirgizki";"zhitel'nicy jugo-zapadnykh rajonov Uzbekistana";"64207";"1979_3";"kirgizy, uzbeki";NA;"Factual Statement by Author";"Rupture";"development of national in form, socialist in content culture"
"kirgizy";"uzbeki";"66453";"1982_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"kirgizy";"uzbeki";"66453";"1982_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"Sovietization"
"kirgizy";"russkij narod / Russians";"66453";"1982_6";"Central Asian titular nations, Groups";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"kirgizy";"russkij narod / Russians";"66453";"1982_6";"Central Asian titular nations, Groups";"present";"Factual Statement by Author";NA;"Sovietization"
"kirgizy";"Soviet Union";"66453";"1982_6";"Central Asian titular nations, Locations";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"kirgizy";"Soviet Union";"66453";"1982_6";"Central Asian titular nations, Locations";"present";"Factual Statement by Author";NA;"Sovietization"
"russkij narod / Russians";"uzbeki";"66453";"1982_6";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"russkij narod / Russians";"uzbeki";"66453";"1982_6";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"Sovietization"
"russkij narod / Russians";"Soviet Union";"66453";"1982_6";"Groups, Locations";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"russkij narod / Russians";"Soviet Union";"66453";"1982_6";"Groups, Locations";"present";"Factual Statement by Author";NA;"Sovietization"
"Soviet Union";"uzbeki";"66453";"1982_6";"Locations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"Soviet Union";"uzbeki";"66453";"1982_6";"Locations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"Sovietization"
"turkmeny";"uzbeki";"70575";"1961_4";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"control over nature / making land arable / osvoenie zemel'"
"Kazakhstan / Kazakhskaja SSR";"Kirgizija / Kirgizskaja SSR";"7992";"1964-5";"Locations, Locations";"past: early Soviet";"Factual Statement by Author";"Continuity";"modernization / socialist progress"
"Kazakhstan / Kazakhskaja SSR";"Kirgizija / Kirgizskaja SSR";"7992";"1964-5";"Locations, Locations";"past: early Soviet";"Factual Statement by Author";"Continuity";"socialist internationalism / druzhba narodov"
"Kazakhstan / Kazakhskaja SSR";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"7992";"1964-5";"Locations, Locations";"past: early Soviet";"Factual Statement by Author";"Continuity";"modernization / socialist progress"
"Kazakhstan / Kazakhskaja SSR";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"7992";"1964-5";"Locations, Locations";"past: early Soviet";"Factual Statement by Author";"Continuity";"socialist internationalism / druzhba narodov"
"Kirgizija / Kirgizskaja SSR";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"7992";"1964-5";"Locations, Locations";"past: early Soviet";"Factual Statement by Author";"Continuity";"modernization / socialist progress"
"Kirgizija / Kirgizskaja SSR";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"7992";"1964-5";"Locations, Locations";"past: early Soviet";"Factual Statement by Author";"Continuity";"socialist internationalism / druzhba narodov"
"""Rossija"" / Russian Empire";"Central Asia / Srednjaja Azija";"85337";"1955_3";"Historical locations, Locations";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"pre-Soviet modernization during Russian colonial rule"
