"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"feature";"relation"
"polukochevye narody / narodnosti";"turkmeny";"114366";"1970_1";"Central Asian titular nations, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"mode of production / khozjajsvennyj uklad / economic system";"proximity / similarity"
"karakalpaki";"turkmeny";"114366";"1970_1";"Central Asian titular nations, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"mode of production / khozjajsvennyj uklad / economic system";"proximity / similarity"
"polukochevye uzbeki";"turkmeny";"114366";"1970_1";"Central Asian titular nations, uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"mode of production / khozjajsvennyj uklad / economic system";"proximity / similarity"
"karakalpaki";"polukochevye narody / narodnosti";"114366";"1970_1";"Groups, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"mode of production / khozjajsvennyj uklad / economic system";"proximity / similarity"
"polukochevye narody / narodnosti";"polukochevye uzbeki";"114366";"1970_1";"Groups, uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"mode of production / khozjajsvennyj uklad / economic system";"proximity / similarity"
"karakalpaki";"polukochevye uzbeki";"114366";"1970_1";"Groups, uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"mode of production / khozjajsvennyj uklad / economic system";"proximity / similarity"
"karakalpaki";"kazakhi";"118451";"1963_5";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"child birth / obychai i obrjady svjazannye s rozhdeniem";"proximity / similarity"
"karakalpaki";"kazakhi";"118451";"1963_5";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"magicheskie obrjady / magicheskie praktiki";"proximity / similarity"
"karakalpaki";"kirgizy";"118451";"1963_5";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"child birth / obychai i obrjady svjazannye s rozhdeniem";"proximity / similarity"
"karakalpaki";"kirgizy";"118451";"1963_5";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"magicheskie obrjady / magicheskie praktiki";"proximity / similarity"
"karakalpaki";"uzbeki";"118451";"1963_5";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"child birth / obychai i obrjady svjazannye s rozhdeniem";"proximity / similarity"
"karakalpaki";"uzbeki";"118451";"1963_5";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"magicheskie obrjady / magicheskie praktiki";"proximity / similarity"
"karakalpaki";"turkmeny";"118451";"1963_5";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"child birth / obychai i obrjady svjazannye s rozhdeniem";"proximity / similarity"
"karakalpaki";"turkmeny";"118451";"1963_5";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"magicheskie obrjady / magicheskie praktiki";"proximity / similarity"
"kazakhi";"kirgizy";"118451";"1963_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"child birth / obychai i obrjady svjazannye s rozhdeniem";"proximity / similarity"
"kazakhi";"kirgizy";"118451";"1963_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"magicheskie obrjady / magicheskie praktiki";"proximity / similarity"
"kazakhi";"uzbeki";"118451";"1963_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"child birth / obychai i obrjady svjazannye s rozhdeniem";"proximity / similarity"
"kazakhi";"uzbeki";"118451";"1963_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"magicheskie obrjady / magicheskie praktiki";"proximity / similarity"
"kazakhi";"turkmeny";"118451";"1963_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"child birth / obychai i obrjady svjazannye s rozhdeniem";"proximity / similarity"
"kazakhi";"turkmeny";"118451";"1963_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"magicheskie obrjady / magicheskie praktiki";"proximity / similarity"
"kirgizy";"uzbeki";"118451";"1963_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"child birth / obychai i obrjady svjazannye s rozhdeniem";"proximity / similarity"
"kirgizy";"uzbeki";"118451";"1963_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"magicheskie obrjady / magicheskie praktiki";"proximity / similarity"
"kirgizy";"turkmeny";"118451";"1963_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"child birth / obychai i obrjady svjazannye s rozhdeniem";"proximity / similarity"
"kirgizy";"turkmeny";"118451";"1963_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"magicheskie obrjady / magicheskie praktiki";"proximity / similarity"
"turkmeny";"uzbeki";"118451";"1963_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"child birth / obychai i obrjady svjazannye s rozhdeniem";"proximity / similarity"
"turkmeny";"uzbeki";"118451";"1963_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"magicheskie obrjady / magicheskie praktiki";"proximity / similarity"
"osedlye uzbeki";"polukochevye uzbeki";"124201";"1971_4";"uzbeki, uzbeki";NA;"Factual Statement by Author";NA;"housing / architecture / zhilisshe";"proximity / similarity"
"polukochevye uzbeki";"polukochevye uzbeki Fergany (Tajikistan)";"124201";"1971_4";"uzbeki, uzbeki";NA;"Factual Statement by Author";NA;"housing / architecture / zhilisshe";"proximity / similarity"
"karakalpaki Fergany";"polukochevye uzbeki";"124201";"1971_4";"uzbeki, karakalpaki";NA;"Factual Statement by Author";NA;"housing / architecture / zhilisshe";"proximity / similarity"
"osedlye uzbeki Fergany (Tajikistan)";"polukochevye uzbeki";"124201";"1971_4";"uzbeki, uzbeki";NA;"Factual Statement by Author";NA;"housing / architecture / zhilisshe";"proximity / similarity"
"osedlye uzbeki";"polukochevye uzbeki Fergany (Tajikistan)";"124201";"1971_4";"uzbeki, uzbeki";NA;"Factual Statement by Author";NA;"housing / architecture / zhilisshe";"proximity / similarity"
"karakalpaki Fergany";"osedlye uzbeki";"124201";"1971_4";"uzbeki, karakalpaki";NA;"Factual Statement by Author";NA;"housing / architecture / zhilisshe";"proximity / similarity"
"osedlye uzbeki";"osedlye uzbeki Fergany (Tajikistan)";"124201";"1971_4";"uzbeki, uzbeki";NA;"Factual Statement by Author";NA;"housing / architecture / zhilisshe";"proximity / similarity"
"karakalpaki Fergany";"polukochevye uzbeki Fergany (Tajikistan)";"124201";"1971_4";"uzbeki, karakalpaki";NA;"Factual Statement by Author";NA;"housing / architecture / zhilisshe";"proximity / similarity"
"osedlye uzbeki Fergany (Tajikistan)";"polukochevye uzbeki Fergany (Tajikistan)";"124201";"1971_4";"uzbeki, uzbeki";NA;"Factual Statement by Author";NA;"housing / architecture / zhilisshe";"proximity / similarity"
"karakalpaki Fergany";"osedlye uzbeki Fergany (Tajikistan)";"124201";"1971_4";"karakalpaki, uzbeki";NA;"Factual Statement by Author";NA;"housing / architecture / zhilisshe";"proximity / similarity"
"kirgizy";"uzbeki Khorezma";"128546";"1982_5";"uzbeki, Central Asian titular nations";"present";"Factual Statement by Author";NA;"weddings / svadebnye obychai i obrjady / kalym";NA
"Central Asia / Srednjaja Azija";"Kazakhstan / Kazakhskaja SSR";"130993";"1971_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"obrjady";NA
"Central Asia / Srednjaja Azija";"Kazakhstan / Kazakhskaja SSR";"130993";"1971_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"obychai";NA
"Central Asia / Srednjaja Azija";"Kazakhstan / Kazakhskaja SSR";"130993";"1971_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"byt / bytovyj uklad";NA
"Central Asia / Srednjaja Azija";"Kazakhstan / Kazakhskaja SSR";"130993";"1971_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"clothing";NA
"Central Asia / Srednjaja Azija";"Kazakhstan / Kazakhskaja SSR";"130993";"1971_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"perezhitki";NA
"Central Asia / Srednjaja Azija";"Kazakhstan / Kazakhskaja SSR";"130993";"1971_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"kul'tura / kul'turnye tradicii";NA
"persy / iranojazychnye narody / Persian-/Iranian-speaking world";"tjurkojazychnye narody";"132732";"1990_2";"Groups, Groups";NA;NA;NA;"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"contact / connection (interpersonal, interethnic,...)"
"uzbeki-sarty";"zemledel'cheskie narody Evropy i Azii";"133605";"1981_2";"uzbeki, Groups";NA;"Factual Statement by Author";NA;"weddings / svadebnye obychai i obrjady / kalym";"proximity / similarity"
"nositeli iranskikh dialektakh v Farse na Juge Irana";"osedloe zemledel'ch. nasel. Vostoch. Turkestan do Zapadn.  Iran";"136702";"1989_5";"Groups, Groups";"past";"Factual Statement by Author";NA;"identity / self-description / samonazvanie / samosoznanie";"proximity / similarity"
"etn. gruppy, govorjasshie na nardskikh jazykah v Afganistane";"osedloe zemledel'ch. nasel. Vostoch. Turkestan do Zapadn.  Iran";"136702";"1989_5";"Groups, Groups in Afghanistan";"past";"Factual Statement by Author";NA;"identity / self-description / samonazvanie / samosoznanie";"proximity / similarity"
"etn. gruppy, govorjasshie na nardskikh jazykah v Afganistane";"nositeli iranskikh dialektakh v Farse na Juge Irana";"136702";"1989_5";"Groups, Groups in Afghanistan";"past";"Factual Statement by Author";NA;"identity / self-description / samonazvanie / samosoznanie";"proximity / similarity"
"Khorezmskij oazis";"uzbeki-sarty";"144673";"1981_2";"uzbeki, Locations";NA;NA;NA;"weddings / svadebnye obychai i obrjady / kalym";NA
"persy / iranojazychnye narody / Persian-/Iranian-speaking world";"uzbeki-sarty";"144673";"1981_2";"uzbeki, Groups";NA;NA;NA;"weddings / svadebnye obychai i obrjady / kalym";NA
"Khorezmskij oazis";"persy / iranojazychnye narody / Persian-/Iranian-speaking world";"144673";"1981_2";"Locations, Groups";NA;NA;NA;"weddings / svadebnye obychai i obrjady / kalym";NA
"persy / iranojazychnye narody / Persian-/Iranian-speaking world";"uzbeki Khorezma";"145338";"1981_2";"Groups, uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"influence"
"persy / iranojazychnye narody / Persian-/Iranian-speaking world";"uzbeki Khorezma";"145338";"1981_2";"Groups, uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"proximity / similarity"
"persy / iranojazychnye narody / Persian-/Iranian-speaking world";"uzbeki Khorezma";"145338";"1981_2";"Groups, uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"religion (Islam)";"influence"
"persy / iranojazychnye narody / Persian-/Iranian-speaking world";"uzbeki Khorezma";"145338";"1981_2";"Groups, uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"religion (Islam)";"proximity / similarity"
"persy / iranojazychnye narody / Persian-/Iranian-speaking world";"uzbeki Khorezma";"145338";"1981_2";"Groups, uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"religion / spirituality (pre-Muslim)";"influence"
"persy / iranojazychnye narody / Persian-/Iranian-speaking world";"uzbeki Khorezma";"145338";"1981_2";"Groups, uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"religion / spirituality (pre-Muslim)";"proximity / similarity"
"persy / iranojazychnye narody / Persian-/Iranian-speaking world";"uzbeki Khorezma";"145338";"1981_2";"Groups, uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"weddings / svadebnye obychai i obrjady / kalym";"influence"
"persy / iranojazychnye narody / Persian-/Iranian-speaking world";"uzbeki Khorezma";"145338";"1981_2";"Groups, uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"weddings / svadebnye obychai i obrjady / kalym";"proximity / similarity"
"persy / iranojazychnye narody / Persian-/Iranian-speaking world";"uzbeki Khorezma";"145338";"1981_2";"Groups, uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"folk tales / legends / predanii";"influence"
"persy / iranojazychnye narody / Persian-/Iranian-speaking world";"uzbeki Khorezma";"145338";"1981_2";"Groups, uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"folk tales / legends / predanii";"proximity / similarity"
"persy / iranojazychnye narody / Persian-/Iranian-speaking world";"uzbeki Khorezma";"145338";"1981_2";"Groups, uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"influence"
"persy / iranojazychnye narody / Persian-/Iranian-speaking world";"uzbeki Khorezma";"145338";"1981_2";"Groups, uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"proximity / similarity"
"sredneaziatskie araby / Central Asian Arabs";"turkmeny";"145761";"1969_3";"Central Asian titular nations, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"skotovodstvo/zhivotnovodstvo";"proximity / similarity"
"iranojazychnye narodnosti po beregam r. Pjandzha i Amudar'i";"turkmeny";"145761";"1969_3";"Central Asian titular nations, persy / iranojazychnye narody / Persian-/Iranian-speaking world";"past: pre-Soviet";"Factual Statement by Author";NA;"skotovodstvo/zhivotnovodstvo";"proximity / similarity"
"polukochevye uzbeki";"turkmeny";"145761";"1969_3";"Central Asian titular nations, uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"skotovodstvo/zhivotnovodstvo";"proximity / similarity"
"iranojazychnye narodnosti po beregam r. Pjandzha i Amudar'i";"sredneaziatskie araby / Central Asian Arabs";"145761";"1969_3";"Groups, persy / iranojazychnye narody / Persian-/Iranian-speaking world";"past: pre-Soviet";"Factual Statement by Author";NA;"skotovodstvo/zhivotnovodstvo";"proximity / similarity"
"polukochevye uzbeki";"sredneaziatskie araby / Central Asian Arabs";"145761";"1969_3";"Groups, uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"skotovodstvo/zhivotnovodstvo";"proximity / similarity"
"iranojazychnye narodnosti po beregam r. Pjandzha i Amudar'i";"polukochevye uzbeki";"145761";"1969_3";"persy / iranojazychnye narody / Persian-/Iranian-speaking world, uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"skotovodstvo/zhivotnovodstvo";"proximity / similarity"
"kavkazskie gornye gruppy";"parsy";"158206";"1978_5";"narody Kavkaza, Groups";NA;"Factual Statement by Author";NA;"""racial type"" / rasovyj tip / rasa";"proximity / similarity"
"kirgizy";"uzbeki";"166817";"1982_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"housing / architecture / zhilisshe";"proximity / similarity"
"kurdskie zhensshiny / Kurdish women";"Uzbek women / uzbechki";"169822";"1963_2";"uzbeki, kurdy / Kurds";"present";"Factual Statement by Author";NA;"clothing";"proximity / similarity"
"azerbajdzhanskie zhensshiny";"Uzbek women / uzbechki";"169822";"1963_2";"uzbeki, azerbajdzhancy";"present";"Factual Statement by Author";NA;"clothing";"proximity / similarity"
"azerbajdzhanskie zhensshiny";"kurdskie zhensshiny / Kurdish women";"169822";"1963_2";"kurdy / Kurds, azerbajdzhancy";"present";"Factual Statement by Author";NA;"clothing";"proximity / similarity"
"Bostandykskij rajon Tashkentskoj oblasti";"uzbeki Juzhnogo Tadzhikistana";"170033";"1959_4";"Uzbekistan / Uzbekskaja SSR, uzbeki";NA;NA;NA;"skotovodstvo/zhivotnovodstvo";"proximity / similarity"
"Bostandykskij rajon Tashkentskoj oblasti";"uzbeki Juzhnogo Tadzhikistana";"170033";"1959_4";"Uzbekistan / Uzbekskaja SSR, uzbeki";NA;NA;NA;"khozjajstvo";"proximity / similarity"
"kazakhi";"uzbeki";"173662";"1969_2";"Central Asian titular nations, Central Asian titular nations";"past";"Factual Statement by Author";NA;"weddings / svadebnye obychai i obrjady / kalym";"proximity / similarity"
"kirgizy";"uzbeki";"173662";"1969_2";"Central Asian titular nations, Central Asian titular nations";"past";"Factual Statement by Author";NA;"weddings / svadebnye obychai i obrjady / kalym";"proximity / similarity"
"karakalpaki";"uzbeki";"173662";"1969_2";"Central Asian titular nations, Groups";"past";"Factual Statement by Author";NA;"weddings / svadebnye obychai i obrjady / kalym";"proximity / similarity"
"durmeny Tadzhikistana";"uzbeki";"173662";"1969_2";"Central Asian titular nations, uzbeki";"past";"Factual Statement by Author";NA;"weddings / svadebnye obychai i obrjady / kalym";"proximity / similarity"
"kazakhi";"kirgizy";"173662";"1969_2";"Central Asian titular nations, Central Asian titular nations";"past";"Factual Statement by Author";NA;"weddings / svadebnye obychai i obrjady / kalym";"proximity / similarity"
"karakalpaki";"kazakhi";"173662";"1969_2";"Central Asian titular nations, Groups";"past";"Factual Statement by Author";NA;"weddings / svadebnye obychai i obrjady / kalym";"proximity / similarity"
"durmeny Tadzhikistana";"kazakhi";"173662";"1969_2";"Central Asian titular nations, uzbeki";"past";"Factual Statement by Author";NA;"weddings / svadebnye obychai i obrjady / kalym";"proximity / similarity"
"karakalpaki";"kirgizy";"173662";"1969_2";"Central Asian titular nations, Groups";"past";"Factual Statement by Author";NA;"weddings / svadebnye obychai i obrjady / kalym";"proximity / similarity"
"durmeny Tadzhikistana";"kirgizy";"173662";"1969_2";"Central Asian titular nations, uzbeki";"past";"Factual Statement by Author";NA;"weddings / svadebnye obychai i obrjady / kalym";"proximity / similarity"
"durmeny Tadzhikistana";"karakalpaki";"173662";"1969_2";"Groups, uzbeki";"past";"Factual Statement by Author";NA;"weddings / svadebnye obychai i obrjady / kalym";"proximity / similarity"
"Turkmen women / turkmenki";"Uzbek women / uzbechki";"175264";"1985_2";"uzbeki, turkmeny";"present";"Citation other sources of knowledge: f.e. statistics";NA;"education";NA
"Turkmen women / turkmenki";"Uzbek women / uzbechki";"175264";"1985_2";"uzbeki, turkmeny";"present";"Citation other sources of knowledge: f.e. statistics";NA;"cennostnye / socionormativnye ustanovki / values";NA
"Turkmen women / turkmenki";"Uzbek women / uzbechki";"175801";"1985_2";"uzbeki, turkmeny";"present";"Citation other sources of knowledge: f.e. statistics";NA;"education";NA
"Russians in Central Asia";"Uzbek women / uzbechki";"175801";"1985_2";"uzbeki, russkij narod / Russians";"present";"Citation other sources of knowledge: f.e. statistics";NA;"education";NA
"Russians in Central Asia";"Turkmen women / turkmenki";"175801";"1985_2";"turkmeny, russkij narod / Russians";"present";"Citation other sources of knowledge: f.e. statistics";NA;"education";NA
"turkmeny";"uzbeki";"176214";"1985_2";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"gender relations / polozhenie zhensshiny";NA
"turkmeny";"uzbeki";"176214";"1985_2";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"family structure / semejnye otnoshenii / family life";NA
"turkmeny";"uzbeki";"176214";"1985_2";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"obraz zhizni (kochevoj / osedly)";NA
"turkmeny";"uzbeki";"176214";"1985_2";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"cennostnye / socionormativnye ustanovki / values";NA
"turkmeny";"uzbeki";"185347";"1982_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"food / cooking / pissha";"proximity / similarity"
"kirgizy Dzhirgatal'skogo rajona Tadzhikskoj SSR";"kirgizy vostochnogo Pamira";"199062";"1959_4";"kirgizy, kirgizy";NA;NA;NA;"language / terminology";"proximity / similarity"
"kirgizy Dzhirgatal'skogo rajona Tadzhikskoj SSR";"kirgizy vostochnogo Pamira";"199062";"1959_4";"kirgizy, kirgizy";NA;NA;NA;"perezhitki";"proximity / similarity"
"kirgizy Dzhirgatal'skogo rajona Tadzhikskoj SSR";"kirgizy vostochnogo Pamira";"199062";"1959_4";"kirgizy, kirgizy";NA;NA;NA;"verovanija / mify / beliefs / myths";"proximity / similarity"
"kirgizy Dzhirgatal'skogo rajona Tadzhikskoj SSR";"kirgizy vostochnogo Pamira";"199062";"1959_4";"kirgizy, kirgizy";NA;NA;NA;"religion (Islam)";"proximity / similarity"
"persy / iranojazychnye narody / Persian-/Iranian-speaking world";"sredneaziatskie araby / Central Asian Arabs";"200137";"1959_4";"Groups, Groups";NA;"Factual Statement by Author";NA;"verovanija / mify / beliefs / myths";"proximity / similarity"
"korejcy Srednej Azii";"uzbeki";"21096";"1966_5";"Groups, Central Asian titular nations";"present";NA;"Continuity";"material'naja kul'tura";"knowledge exchange"
"narody Srednej Azii i Kazakhstana";"uzbeki";"235044";"1989_4";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"stage of development";"proximity / similarity"
"narody Sibiri";"narody Srednej Azii i Kazakhstana";"235044";"1989_4";"Groups, Groups";"present";"Factual Statement by Author";NA;"stage of development";"proximity / similarity"
"narody Kavkaza";"narody Srednej Azii i Kazakhstana";"235044";"1989_4";"Groups, Groups";"present";"Factual Statement by Author";NA;"stage of development";"proximity / similarity"
"narody Sibiri";"uzbeki";"235044";"1989_4";"Central Asian titular nations, Groups";"present";"Factual Statement by Author";NA;"stage of development";"proximity / similarity"
"narody Kavkaza";"uzbeki";"235044";"1989_4";"Central Asian titular nations, Groups";"present";"Factual Statement by Author";NA;"stage of development";"proximity / similarity"
"narody Kavkaza";"narody Sibiri";"235044";"1989_4";"Groups, Groups";"present";"Factual Statement by Author";NA;"stage of development";"proximity / similarity"
"kazakhi";"musul'manskie narody Kavkaza";"248827";"1980_6";"Central Asian titular nations, narody Kavkaza";"past";"Factual Statement by Author";NA;"predstavlenija / magicheskie predstavlenija";"proximity / similarity"
"kazakhi";"musul'manskie narody Kavkaza";"248827";"1980_6";"Central Asian titular nations, narody Kavkaza";"past";"Factual Statement by Author";NA;"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"kazakhi";"musul'manskie narody Srednej Azii";"248827";"1980_6";"Central Asian titular nations, narody Srednej Azii";"past";"Factual Statement by Author";NA;"predstavlenija / magicheskie predstavlenija";"proximity / similarity"
"kazakhi";"musul'manskie narody Srednej Azii";"248827";"1980_6";"Central Asian titular nations, narody Srednej Azii";"past";"Factual Statement by Author";NA;"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"musul'manskie narody Kavkaza";"musul'manskie narody Srednej Azii";"248827";"1980_6";"narody Kavkaza, narody Srednej Azii";"past";"Factual Statement by Author";NA;"predstavlenija / magicheskie predstavlenija";"proximity / similarity"
"musul'manskie narody Kavkaza";"musul'manskie narody Srednej Azii";"248827";"1980_6";"narody Kavkaza, narody Srednej Azii";"past";"Factual Statement by Author";NA;"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"narody Gindukusha";"251012";"1957_2";"Groups, Groups in Afghanistan";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"narody Gindukusha";"251012";"1957_2";"Groups, Groups in Afghanistan";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"afgancy doliny r. Pandzhshir";"narody Gindukusha";"251012";"1957_2";"Groups, Groups in Afghanistan";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
