"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation"
"russkij narod / Russians";"mixed / coexisting";"2392";"1964-6";"Groups";"past: early Soviet";"Factual Statement by Author";NA
"uzbeki";"religious";"246909";"1989_4";"Central Asian titular nations";NA;NA;NA
"uzbeki";"Muslim";"246909";"1989_4";"Central Asian titular nations";NA;NA;NA
"kazakhi";"Muslim";"248827";"1980_6";"Central Asian titular nations";"past";"Factual Statement by Author";NA
"kazakhi";"superstitious";"248827";"1980_6";"Central Asian titular nations";"past";"Factual Statement by Author";NA
"musul'manskie narody Kavkaza";"Muslim";"248827";"1980_6";"narody Kavkaza";"past";"Factual Statement by Author";NA
"musul'manskie narody Kavkaza";"superstitious";"248827";"1980_6";"narody Kavkaza";"past";"Factual Statement by Author";NA
"musul'manskie narody Srednej Azii";"Muslim";"248827";"1980_6";"narody Srednej Azii";"past";"Factual Statement by Author";NA
"musul'manskie narody Srednej Azii";"superstitious";"248827";"1980_6";"narody Srednej Azii";"past";"Factual Statement by Author";NA
"russkij narod / Russians";"progressive / progressivnyj";"25403";"1960_2";"Groups";"past: pre-Soviet";NA;NA
"russkij narod / Russians";"democratic";"25403";"1960_2";"Groups";"past: pre-Soviet";NA;NA
"narody Srednej Azii";"Muslim";"257552";"1957_2";"narody Srednej Azii i Kazakhstana";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA
"tjurki";"Muslim";"262394";"1990_4";"Groups";NA;NA;NA
"Central Asia / Srednjaja Azija";"Muslim";"262394";"1990_4";"Locations";NA;NA;NA
"narody Srednej Azii i Kazakhstana";"Muslim";"262394";"1990_4";"Groups";NA;NA;NA
"narody Sibiri";"Muslim";"262394";"1990_4";"Groups";NA;NA;NA
"pamircy (Afghanistan)";"isolated / otdalennyj / trudnodostupnyj";"263590";"1956_2";"Groups in Afghanistan";"present";"Factual Statement by Author";NA
"uzbeki";"traditional / narodnyj / nacional'nyj";"273648";"1963_6";"Central Asian titular nations";NA;"Factual Statement by Author";NA
"uzbeki";"traditional / narodnyj / nacional'nyj";"276868";"1963_6";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"Uzbekistan / Uzbekskaja SSR";"changing / in a process of change";"277942";"1964-5";"Locations";"past: early Soviet";"Literature Review";NA
"Karakalpakija";"changing / in a process of change";"277942";"1964-5";"Locations";"past: early Soviet";"Literature Review";NA
"Afganskij Badakhshan";"flawed / in need of improvement";"283224";"1971_1";"Afghanistan";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA
"Afganskij Badakhshan";"zastojnyj / non-innovative";"283224";"1971_1";"Afghanistan";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA
"turkmeny";"traditional / narodnyj / nacional'nyj";"29354";"1962_6";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"turkmeny";"changing / in a process of change";"29354";"1962_6";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"turkmeny";"mixed / coexisting";"29354";"1962_6";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"turkmeny";"unique / locally specific / svoeobraznyj / samobytnyj";"29354";"1962_6";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"kazakhi";"traditional / narodnyj / nacional'nyj";"29354";"1962_6";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"kazakhi";"changing / in a process of change";"29354";"1962_6";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"kazakhi";"mixed / coexisting";"29354";"1962_6";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"kazakhi";"unique / locally specific / svoeobraznyj / samobytnyj";"29354";"1962_6";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"kirgizy";"traditional / narodnyj / nacional'nyj";"29354";"1962_6";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"kirgizy";"changing / in a process of change";"29354";"1962_6";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"kirgizy";"mixed / coexisting";"29354";"1962_6";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"kirgizy";"unique / locally specific / svoeobraznyj / samobytnyj";"29354";"1962_6";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"Uzbekistan / Uzbekskaja SSR";"growing (population: mnogodetnost')";"33331";"1989_2";"Locations";"present";"Factual Statement by Author";NA
"Estonia";"growing (population: mnogodetnost')";"33331";"1989_2";"Locations";"present";"Factual Statement by Author";NA
"glukhie rajony Kirgizii";"patriarchal";"342618";"1967_5";"Kirgizija / Kirgizskaja SSR";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"glukhie rajony Kirgizii";"undemocratic / hierarchical / despotic";"342618";"1967_5";"Kirgizija / Kirgizskaja SSR";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"glukhie rajony Kirgizii";"isolated / otdalennyj / trudnodostupnyj";"342618";"1967_5";"Kirgizija / Kirgizskaja SSR";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"Karashinskaja step'";"patriarchal";"342618";"1967_5";"Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"Karashinskaja step'";"undemocratic / hierarchical / despotic";"342618";"1967_5";"Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"Karashinskaja step'";"isolated / otdalennyj / trudnodostupnyj";"342618";"1967_5";"Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"Khorezmskij oazis";"patriarchal";"342618";"1967_5";"Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"Khorezmskij oazis";"undemocratic / hierarchical / despotic";"342618";"1967_5";"Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"Khorezmskij oazis";"isolated / otdalennyj / trudnodostupnyj";"342618";"1967_5";"Locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"uzbeki";"matriarchal";"357259";"1967_5";"Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"uzbeki";"archaic / arkhaichno";"357259";"1967_5";"Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"kazakhi";"matriarchal";"357259";"1967_5";"Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"kazakhi";"archaic / arkhaichno";"357259";"1967_5";"Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"kirgizy";"matriarchal";"357259";"1967_5";"Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"kirgizy";"archaic / arkhaichno";"357259";"1967_5";"Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"uzbeki";"traditional / narodnyj / nacional'nyj";"357722";"1963_5";"Central Asian titular nations";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity"
"uzbeki";"archaic / arkhaichno";"357722";"1963_5";"Central Asian titular nations";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity"
"uzbeki";"collectivist";"357722";"1963_5";"Central Asian titular nations";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity"
"uzbeki";"Muslim";"357722";"1963_5";"Central Asian titular nations";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";"Continuity"
"uzbeki";"matriarchal";"358678";"1967_5";"Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"uzbeki";"archaic / arkhaichno";"358678";"1967_5";"Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"kirgizy";"matriarchal";"358678";"1967_5";"Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"kirgizy";"archaic / arkhaichno";"358678";"1967_5";"Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"turkmeny";"matriarchal";"358678";"1967_5";"Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"turkmeny";"archaic / arkhaichno";"358678";"1967_5";"Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"kirgizy";"matriarchal";"359803";"1967_5";"Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"kazakhi";"matriarchal";"359803";"1967_5";"Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"uzbeki Surkhandar'inskoj oblasti";"developed / razvito";"368841";"1970_2";"uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA
"kirgizy";"changing / in a process of change";"37827";"1977_6";"Central Asian titular nations";"present";NA;NA
"turkmeny";"changing / in a process of change";"37827";"1977_6";"Central Asian titular nations";"present";NA;NA
"kazakhi";"changing / in a process of change";"37827";"1977_6";"Central Asian titular nations";"present";NA;NA
"Lithuania";"changing / in a process of change";"37827";"1977_6";"Locations";"present";NA;NA
"uzbeki";"avtokhtonno";"388750";"1983_3";"Central Asian titular nations";NA;"Factual Statement by Author";NA
"turkmeny";"avtokhtonno";"388750";"1983_3";"Central Asian titular nations";NA;"Factual Statement by Author";NA
"Soviet Union";"soznatel'no";"419734";"1954_3";"Locations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture"
"Soviet Union";"kult'turno";"419734";"1954_3";"Locations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture"
"Central Asia / Srednjaja Azija";"otstalyj";"423152";"1984_3";"Locations";"past: pre-Soviet";"Factual Statement by Author";NA
"Central Asia / Srednjaja Azija";"unhealthy";"423152";"1984_3";"Locations";"past: pre-Soviet";"Factual Statement by Author";NA
"karakalpaki";"flawed / in need of improvement";"43187";"1962_6";"Groups";"present";"Factual Statement by Author";NA
"karakalpaki";"regressive / reactionary";"43187";"1962_6";"Groups";"present";"Factual Statement by Author";NA
"turkmeny";"flawed / in need of improvement";"43187";"1962_6";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"turkmeny";"regressive / reactionary";"43187";"1962_6";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"narody Srednej Azii";"unique / locally specific / svoeobraznyj / samobytnyj";"460662";"1957_2";"narody Srednej Azii i Kazakhstana";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"narody Srednej Azii";"developed / razvito";"460662";"1957_2";"narody Srednej Azii i Kazakhstana";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"narody Srednej Azii";"resistent / resisting";"464008";"1957_2";"narody Srednej Azii i Kazakhstana";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"narody Srednej Azii";"threatened / attacked / in need of protection";"464008";"1957_2";"narody Srednej Azii i Kazakhstana";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"Soviet Union";"egalitarian / liberated";"46897";"1982_3";"Locations";"past: early Soviet";"Factual Statement by Author";NA
"Soviet Union";"modern / sovremennyj";"46897";"1982_3";"Locations";"past: early Soviet";"Factual Statement by Author";NA
"Soviet Union";"changing / in a process of change";"46897";"1982_3";"Locations";"past: early Soviet";"Factual Statement by Author";NA
"sredneaziatskie araby / Central Asian Arabs";"Muslim";"471786";"1990_6";"Groups";"past";"Factual Statement by Author";NA
"sredneaziatskie araby / Central Asian Arabs";"collectivist";"471786";"1990_6";"Groups";"past";"Factual Statement by Author";NA
"afgancy / Afghans";"Muslim";"471786";"1990_6";"Groups in Afghanistan";"past";"Factual Statement by Author";NA
"afgancy / Afghans";"collectivist";"471786";"1990_6";"Groups in Afghanistan";"past";"Factual Statement by Author";NA
"kirgizy";"Muslim";"471786";"1990_6";"Central Asian titular nations";"past";"Factual Statement by Author";NA
"kirgizy";"collectivist";"471786";"1990_6";"Central Asian titular nations";"past";"Factual Statement by Author";NA
"uzbeki";"Muslim";"471786";"1990_6";"Central Asian titular nations";"past";"Factual Statement by Author";NA
"uzbeki";"collectivist";"471786";"1990_6";"Central Asian titular nations";"past";"Factual Statement by Author";NA
"kazakhi";"Muslim";"471786";"1990_6";"Central Asian titular nations";"past";"Factual Statement by Author";NA
"kazakhi";"collectivist";"471786";"1990_6";"Central Asian titular nations";"past";"Factual Statement by Author";NA
"karakalpaki";"modern / sovremennyj";"479596";"1983_6";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"karakalpaki";"changing / in a process of change";"479596";"1983_6";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"Uzbekistan / Uzbekskaja SSR";"growing (population: mnogodetnost')";"480579";"1983_6";"Locations";NA;"Factual Statement by Author";NA
"Turkmenistan / Turkmenija / Turkmenskaja SSR";"growing (population: mnogodetnost')";"480579";"1983_6";"Locations";NA;"Factual Statement by Author";NA
"Uzbek women / uzbechki";"collectivist";"488169";"1990_6";"uzbeki";"present";"Factual Statement by Author";"Continuity"
"iranskie narody / Iranians";"zoroastrijskij";"496053";"1973_1";"Groups";"past: pre-Muslim";"Factual Statement by Author";NA
"polukochevye narody / narodnosti";"feudal";"501434";"1957_2";"Groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"polukochevye narody / narodnosti";"patriarchal";"501434";"1957_2";"Groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"polukochevye narody / narodnosti";"isolated / otdalennyj / trudnodostupnyj";"501434";"1957_2";"Groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"gornye shotlandcy";"feudal";"501434";"1957_2";"Groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"gornye shotlandcy";"patriarchal";"501434";"1957_2";"Groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"gornye shotlandcy";"isolated / otdalennyj / trudnodostupnyj";"501434";"1957_2";"Groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"chernogorcy";"feudal";"501434";"1957_2";"Groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"chernogorcy";"patriarchal";"501434";"1957_2";"Groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"chernogorcy";"isolated / otdalennyj / trudnodostupnyj";"501434";"1957_2";"Groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"narody Kavkaza";"feudal";"501434";"1957_2";"Groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"narody Kavkaza";"patriarchal";"501434";"1957_2";"Groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"narody Kavkaza";"isolated / otdalennyj / trudnodostupnyj";"501434";"1957_2";"Groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"kochevye narody";"feudal";"501434";"1957_2";"Groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"kochevye narody";"patriarchal";"501434";"1957_2";"Groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"kochevye narody";"isolated / otdalennyj / trudnodostupnyj";"501434";"1957_2";"Groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"uzbeki";"collectivist";"51463";"1960_2";"Central Asian titular nations";NA;"Factual Statement by Author";NA
"uzbeki";"hard-working";"51463";"1960_2";"Central Asian titular nations";NA;"Factual Statement by Author";NA
"uzbeki";"nationalist";"51623";"1991_1";"Central Asian titular nations";"past: early Soviet";"Factual Statement by Author";NA
"uzbeki";"chauvinist";"51623";"1991_1";"Central Asian titular nations";"past: early Soviet";"Factual Statement by Author";NA
"Samarkand";"urban";"54755";"1964_1";"Uzbekistan / Uzbekskaja SSR";"present";"Factual Statement by Author";"Continuity"
"Samarkand";"progressive / peredovyj / novyj / efficient";"54755";"1964_1";"Uzbekistan / Uzbekskaja SSR";"present";"Factual Statement by Author";"Continuity"
"Samarkand";"educated";"54755";"1964_1";"Uzbekistan / Uzbekskaja SSR";"present";"Factual Statement by Author";"Continuity"
"gornaja Gruzija";"archaic / arkhaichno";"555325";"1953_3";"Gruzija / Georgia";"present";"Factual Statement by Author";"Continuity"
"Zakavkas";"archaic / arkhaichno";"555325";"1953_3";"Locations";"present";"Factual Statement by Author";"Continuity"
"sel'skoe naselenie juzhnykh i zapadnikh rajonov Uzbekistana";"traditional / narodnyj / nacional'nyj";"56082";"1960_1";"uzbeki";NA;NA;NA
"tjurki Uzbekistana";"traditional / narodnyj / nacional'nyj";"56082";"1960_1";"tjurki";NA;NA;NA
"narody Vostochnogo Gindukusha";"isolated / otdalennyj / trudnodostupnyj";"575107";"1979_2";"narody Gindukusha";"present";NA;NA
"narody Vostochnogo Gindukusha";"unique / locally specific / svoeobraznyj / samobytnyj";"575107";"1979_2";"narody Gindukusha";"present";NA;NA
"narody Vostochnogo Gindukusha";"samostojatel'no";"575107";"1979_2";"narody Gindukusha";"present";NA;NA
"Uzbekistan / Uzbekskaja SSR";"traditional / narodnyj / nacional'nyj";"61776";"1979_3";"Locations";"present";"Factual Statement by Author";"Continuity"
"Uzbekistan / Uzbekskaja SSR";"traditional / narodnyj / nacional'nyj";"61938";"1979_3";"Locations";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA
"Uzbekistan / Uzbekskaja SSR";"traditional / narodnyj / nacional'nyj";"63696";"1979_3";"Locations";"present";"Factual Statement by Author";"Continuity"
"Kazakh women / kazashki";"traditional / narodnyj / nacional'nyj";"64207";"1979_3";"kazakhi";NA;"Factual Statement by Author";"Rupture"
"Kazakh women / kazashki";"mixed / coexisting";"64207";"1979_3";"kazakhi";NA;"Factual Statement by Author";"Rupture"
"Kazakh women / kazashki";"modern / sovremennyj";"64207";"1979_3";"kazakhi";NA;"Factual Statement by Author";"Rupture"
"Kyrgyz women / kirgizki";"traditional / narodnyj / nacional'nyj";"64207";"1979_3";"kirgizy";NA;"Factual Statement by Author";"Rupture"
"Kyrgyz women / kirgizki";"mixed / coexisting";"64207";"1979_3";"kirgizy";NA;"Factual Statement by Author";"Rupture"
"Kyrgyz women / kirgizki";"modern / sovremennyj";"64207";"1979_3";"kirgizy";NA;"Factual Statement by Author";"Rupture"
"zhitel'nicy jugo-zapadnykh rajonov Uzbekistana";"traditional / narodnyj / nacional'nyj";"64207";"1979_3";"uzbeki";NA;"Factual Statement by Author";"Rupture"
"zhitel'nicy jugo-zapadnykh rajonov Uzbekistana";"mixed / coexisting";"64207";"1979_3";"uzbeki";NA;"Factual Statement by Author";"Rupture"
"zhitel'nicy jugo-zapadnykh rajonov Uzbekistana";"modern / sovremennyj";"64207";"1979_3";"uzbeki";NA;"Factual Statement by Author";"Rupture"
